epoch,train_loss
0,0.7383557498339679
1,0.687431514252412
2,0.6680336773291158
3,0.6651245534316088
4,0.6669870614901277
5,0.6626558542148047
6,0.6621551930800926
7,0.6658982515231037
8,0.6641471683875262
9,0.6584582090274923
10,0.6575551628963724
11,0.6504189371961056
12,0.654879349459906
13,0.6487122952836718
14,0.6447072088617679
15,0.6472858428853939
16,0.6412897288699084
17,0.6457603752512168
18,0.6469256162542351
19,0.6420527338881308
20,0.6360232829948229
21,0.6406552851100001
22,0.6389841616053876
23,0.6412704348463949
24,0.6370759606261845
25,0.6419427692789864
26,0.6383809506793411
27,0.6307295620342885
28,0.6350089490314446
29,0.6303445577522968
30,0.6321056842705188
31,0.6349973678489649
32,0.6317117333313466
33,0.6356636106868604
34,0.6339354932209145
35,0.6307003021141687
36,0.6310069739719978
37,0.6354007601638695
38,0.6338265657325891
39,0.6393312036891223
40,0.637809890498686
41,0.6387625634570451
42,0.6309252381226186
43,0.6376209556956799
44,0.6351602673431335
45,0.6325836777588232
46,0.6311343789002032
47,0.6339047789474622
48,0.6366173744102188
49,0.634698563804246
50,0.6352242946525501
51,0.6374920129676392
52,0.6373580515285087
53,0.6317279696365831
54,0.6356839597125864
55,0.6339777946373109
56,0.6401416182417983
57,0.6325870811840397
58,0.6352231204410481
59,0.6354658901592145
