dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_time,last_loss
aug_mnist,320,1.0,0.0,4.0,1.0,0.6718749999790039,0.6718749999790039,6931.319804191589,115.52199673652648,17.0,0.657111834863155
aug_mnist,20,2.0,0.0,3.0,1.0,0.9999999995,0.649999999675,311.35452818870544,5.189242136478424,14.0,0.6462167307483637
aug_mnist,20,2.0,0.0,3.0,2.0,0.6999999996499999,0.549999999725,292.43990445137024,4.873998407522837,19.0,0.6553469434084028
aug_mnist,320,1.0,0.0,4.0,2.0,0.8781249999725586,0.8781249999725586,7507.02415394783,125.11706923246383,28.0,0.643949503878497
aug_mnist,320,1.0,0.0,4.0,3.0,0.8437499999736328,0.8437499999736328,7698.423734664917,128.30706224441528,17.0,0.6244584971471193
aug_mnist,20,2.0,0.0,3.0,3.0,0.7999999996,0.649999999675,313.0205936431885,5.217009894053141,25.0,0.6081033581435
aug_mnist,20,2.0,0.0,4.0,1.0,0.549999999725,0.549999999725,297.59672451019287,4.959945408503215,19.0,0.6703152230010622
aug_mnist,20,2.0,0.0,4.0,2.0,0.49999999975,0.49999999975,391.8007376194,6.530012293656667,11.0,0.6702996679769229
aug_mnist,20,2.0,0.0,4.0,3.0,0.649999999675,0.649999999675,450.3410835266113,7.505684725443522,13.0,0.6391487398528117
aug_mnist,40,2.0,0.0,3.0,1.0,0.7999999998,0.5749999998562499,488.5970706939697,8.143284511566161,7.0,0.6493212489650576
aug_mnist,40,2.0,0.0,3.0,2.0,0.87499999978125,0.52499999986875,556.4317965507507,9.273863275845846,7.0,0.6426928441109867
aug_mnist,40,2.0,0.0,3.0,3.0,0.97499999975625,0.6999999998249999,628.8646714687347,10.481077857812243,7.0,0.6133260570423319
aug_mnist,640,1.0,0.0,3.0,2.0,0.9374999999853516,0.6312499999901368,8965.544769525528,149.4257461587588,21.0,0.6358670383592433
aug_mnist,40,2.0,0.0,4.0,1.0,0.7499999998125,0.7499999998125,882.3933913707733,14.706556522846222,5.0,0.6757950512865489
aug_mnist,40,2.0,0.0,4.0,2.0,0.6999999998249999,0.6999999998249999,791.7624235153198,13.196040391921995,14.0,0.666734639835567
aug_mnist,40,2.0,0.0,4.0,3.0,0.72499999981875,0.72499999981875,906.2786808013916,15.104644680023194,21.0,0.6444112752257074
aug_mnist,640,1.0,0.0,3.0,1.0,0.9687499999848632,0.6734374999894776,9709.405009031296,161.82341681718827,17.0,0.638148671378655
aug_mnist,80,2.0,0.0,3.0,1.0,0.9249999998843752,0.6999999999125001,1095.616287946701,18.260271465778352,9.0,0.6356498908202021
aug_mnist,80,2.0,0.0,3.0,2.0,0.9249999998843752,0.7749999999031251,1308.0668301582336,21.80111383597056,22.0,0.6457933848289057
aug_mnist,640,1.0,0.0,3.0,3.0,0.9609374999849852,0.6968749999891113,10478.243196725844,174.63738661209743,21.0,0.5940066957380942
aug_mnist,640,1.0,0.0,4.0,2.0,0.6999999999890625,0.6999999999890625,10449.78686785698,174.16311446428298,30.0,0.6625004446402984
aug_mnist,80,2.0,0.0,3.0,3.0,0.9624999998796876,0.7499999999062501,1498.4555571079254,24.97425928513209,9.0,0.5897303055979756
aug_mnist,640,1.0,0.0,4.0,3.0,0.7499999999882813,0.7499999999882813,10938.208754062653,182.3034792343776,12.0,0.6429577803511293
aug_mnist,80,2.0,0.0,4.0,1.0,0.7374999999078126,0.7374999999078126,1498.6382257938385,24.97730376323064,12.0,0.6577392356765641
aug_mnist,80,2.0,0.0,4.0,2.0,0.9374999998828126,0.9374999998828126,1997.370514631272,33.28950857718785,19.0,0.6470249777223522
aug_mnist,80,2.0,0.0,4.0,3.0,0.8874999998890626,0.8874999998890626,1687.2239031791687,28.12039838631948,12.0,0.633710033218325
aug_mnist,640,1.0,0.0,4.0,1.0,0.6859374999892822,0.6859374999892822,12342.586421251295,205.7097736875216,17.0,0.6566014706985877
aug_mnist,160,2.0,0.0,3.0,3.0,0.9812499999386718,0.7249999999546874,1862.2310991287231,31.03718498547872,22.0,0.5872107585897604
aug_mnist,160,2.0,0.0,3.0,2.0,0.8437499999472656,0.649999999959375,2174.0911717414856,36.234852862358096,7.0,0.6369503324825827
aug_mnist,160,2.0,0.0,3.0,1.0,0.9562499999402344,0.7124999999554688,2702.742128849029,45.04570214748382,7.0,0.6346480077108456
aug_mnist,160,2.0,0.0,4.0,2.0,0.8999999999437499,0.8999999999437499,2239.610869407654,37.326847823460895,18.0,0.641499978859862
aug_mnist,160,2.0,0.0,4.0,3.0,0.9062499999433592,0.9062499999433592,3501.443740129471,58.35739566882452,11.0,0.6271661513651828
aug_mnist,160,2.0,0.0,4.0,1.0,0.6749999999578125,0.6749999999578125,4190.784041643143,69.84640069405238,10.0,0.6564480471200742
aug_mnist,320,2.0,0.0,3.0,2.0,0.8749999999726562,0.6249999999804687,3536.004656076432,58.93341093460719,27.0,0.6392199653187314
aug_mnist,1280,1.0,0.0,3.0,2.0,0.951562499992566,0.6421874999949829,15482.264765024183,258.0377460837364,13.0,0.6351283985326738
aug_mnist,320,2.0,0.0,3.0,1.0,0.9656249999698242,0.6156249999807617,4475.118191242218,74.5853031873703,30.0,0.6393400823870184
aug_mnist,320,2.0,0.0,4.0,1.0,0.6656249999791992,0.6656249999791992,5221.313583135605,87.02189305226008,17.0,0.661116843202912
aug_mnist,320,2.0,0.0,3.0,3.0,0.981249999969336,0.6562499999794922,5283.009810686111,88.05016351143519,13.0,0.5970194858126038
aug_mnist,1280,1.0,0.0,3.0,3.0,0.9867187499922914,0.6867187499946351,18450.82139062881,307.51368984381355,7.0,0.5998406451893674
aug_mnist,320,2.0,0.0,4.0,2.0,0.8499999999734374,0.8499999999734374,6407.681020498276,106.79468367497128,15.0,0.6451601570643037
aug_mnist,640,2.0,0.0,3.0,1.0,0.9703124999848388,0.6624999999896485,7190.617023944855,119.84361706574758,15.0,0.6392039328713677
aug_mnist,320,2.0,0.0,4.0,3.0,0.6718749999790039,0.6718749999790039,7734.592256069183,128.90987093448638,15.0,0.6390267896452525
aug_mnist,640,2.0,0.0,3.0,2.0,0.9296874999854736,0.6499999999898437,8575.937145709991,142.9322857618332,21.0,0.635488179316128
aug_mnist,1280,1.0,0.0,4.0,2.0,0.8874999999930665,0.8874999999930665,23121.62705230713,385.3604508717855,21.0,0.659941198224634
aug_mnist,1280,1.0,0.0,4.0,1.0,0.7007812499945252,0.7007812499945252,23364.18199801445,389.4030333002409,13.0,0.6547352254339566
aug_mnist,640,2.0,0.0,3.0,3.0,0.9421874999852784,0.664062499989624,9205.047862291336,153.41746437152227,15.0,0.5978169649745992
aug_mnist,1280,1.0,0.0,3.0,1.0,0.9609374999924928,0.6781249999947022,24102.54251742363,401.7090419570605,7.0,0.640457045430902
aug_mnist,640,2.0,0.0,4.0,1.0,0.6734374999894776,0.6734374999894776,9434.873929977415,157.24789883295696,14.0,0.6562401020424348
aug_mnist,1280,1.0,0.0,4.0,3.0,0.8742187499931703,0.8742187499931703,25290.63073921204,421.5105123202006,13.0,0.6229022425364468
aug_mnist,640,2.0,0.0,4.0,2.0,0.8515624999866943,0.8515624999866943,13102.452931165695,218.37421551942825,36.0,0.6436901986498392
aug_mnist,640,2.0,0.0,4.0,3.0,0.7921874999876221,0.7921874999876221,13852.52231144905,230.87537185748417,15.0,0.62127566455824
aug_mnist,2560,1.0,0.0,3.0,1.0,0.9613453815212784,0.6867469879483598,30270.61179804802,504.5101966341337,22.0,0.639234560725576
aug_mnist,1280,2.0,0.0,3.0,1.0,0.982031249992328,0.6906249999946046,15826.732197999954,263.7788699666659,8.0,0.6402706038901853
aug_mnist,1280,2.0,0.0,3.0,2.0,0.9414062499926452,0.6484374999949342,20626.800990104675,343.78001650174457,14.0,0.636973456735403
aug_mnist,2560,1.0,0.0,3.0,3.0,0.9528112449751366,0.6867469879483598,39729.244894742966,662.1540815790494,16.0,0.5939647704339668
aug_mnist,20,3.0,0.0,3.0,1.0,0.949999999525,0.5999999997,278.9704518318176,4.649507530530294,7.0,0.6416101637254823
aug_mnist,1280,2.0,0.0,4.0,2.0,0.8999999999929689,0.8999999999929689,20525.153292894363,342.08588821490605,18.0,0.6430017244765592
aug_mnist,20,3.0,0.0,3.0,3.0,0.89999999955,0.5999999997,230.7292678356171,3.845487797260284,16.0,0.61638006537136
aug_mnist,20,3.0,0.0,3.0,2.0,0.6999999996499999,0.5999999997,287.08036398887634,4.784672733147939,12.0,0.6606386270796156
aug_mnist,20,3.0,0.0,4.0,1.0,0.549999999725,0.549999999725,341.76863074302673,5.6961438457171125,10.0,0.66513935115459
aug_mnist,20,3.0,0.0,4.0,2.0,0.649999999675,0.649999999675,440.5313928127289,7.342189880212148,20.0,0.6654533078919515
aug_mnist,20,3.0,0.0,4.0,3.0,0.749999999625,0.749999999625,489.7421340942383,8.162368901570638,28.0,0.6222827353942344
aug_mnist,2560,1.0,0.0,3.0,2.0,0.9352409638507267,0.6315261044145004,40993.66795301437,683.2277992169062,12.0,0.6338976162647281
aug_mnist,1280,2.0,0.0,3.0,3.0,0.98046874999234,0.7070312499944764,23260.84462380409,387.6807437300682,19.0,0.5962052959157141
aug_mnist,40,3.0,0.0,3.0,1.0,0.92499999976875,0.6499999998375,624.0618362426758,10.401030604044596,9.0,0.641923732001041
aug_mnist,1280,2.0,0.0,4.0,1.0,0.7007812499945252,0.7007812499945252,23406.76098012924,390.112683002154,15.0,0.6547043549963347
aug_mnist,40,3.0,0.0,3.0,2.0,0.52499999986875,0.62499999984375,626.3016591072083,10.438360985120138,18.0,0.6529401264942509
aug_mnist,40,3.0,0.0,3.0,3.0,0.97499999975625,0.77499999980625,896.5873384475708,14.943122307459513,9.0,0.6067032290968479
