epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,phi
0,-0.5159290432929993,-0.44235026836395264,-0.4679916203022003,-0.4545533061027527,-0.5102592706680298,-0.41163399815559387,0.46601325273513794,0.47076499462127686,-0.4093758463859558,0.42480358481407166,-0.5040799975395203,0.46845632791519165,-0.4361001253128052,-0.474892258644104,-0.46977749466896057,-0.49571046233177185,0.0
1,-0.6932437419891357,-0.588405430316925,-0.6679180860519409,-0.6015743613243103,-0.7798284292221069,-0.4811517596244812,0.6495991945266724,0.6800116896629333,-0.6026524901390076,0.5648701190948486,-0.7845830321311951,0.6648618578910828,-0.5812861919403076,-0.691547155380249,-0.6488708257675171,-0.7752478718757629,0.0
2,-0.7737100124359131,-0.6596627831459045,-0.7579818964004517,-0.671157717704773,-0.9027149081230164,-0.4957885146141052,0.7296478152275085,0.7792638540267944,-0.6909509897232056,0.6318212747573853,-0.9171329140663147,0.758887767791748,-0.6541504263877869,-0.7863610982894897,-0.735869824886322,-0.908903181552887,0.0
3,-0.814803957939148,-0.6934208273887634,-0.7992032766342163,-0.7008392214775085,-0.9626686573028564,-0.4994750916957855,0.7628310918807983,0.8195580244064331,-0.7333976626396179,0.6599634289741516,-0.9748706817626953,0.8018093109130859,-0.6936127543449402,-0.8267356753349304,-0.7721685767173767,-0.960955798625946,0.0
4,-0.8417434692382812,-0.7108730673789978,-0.8217039108276367,-0.7129796147346497,-1.0004676580429077,-0.5016162991523743,0.7771816849708557,0.8337599039077759,-0.7583290338516235,0.6705557107925415,-1.000597596168518,0.8238493800163269,-0.7198144197463989,-0.8456180095672607,-0.7860181331634521,-0.9763671159744263,0.0
5,-0.8516145348548889,-0.7079034447669983,-0.8239759802818298,-0.7035399675369263,-1.0120840072631836,-0.5034652352333069,0.7716208100318909,0.8172215819358826,-0.7630471587181091,0.6602316498756409,-0.9921790957450867,0.8209301233291626,-0.7279067635536194,-0.8436591029167175,-0.7735611796379089,-0.9483545422554016,0.0
6,-0.869353711605072,-0.714211106300354,-0.8346799612045288,-0.7027519941329956,-1.0360114574432373,-0.5054277181625366,0.773097813129425,0.8117183446884155,-0.7772544622421265,0.657991349697113,-0.9962791204452515,0.8294207453727722,-0.7451118230819702,-0.8492963314056396,-0.7708717584609985,-0.9357950687408447,0.0
7,-0.8893865346908569,-0.7208438515663147,-0.8463071584701538,-0.7016322612762451,-1.0629240274429321,-0.5074631571769714,0.7746067643165588,0.8055576086044312,-0.7927050590515137,0.6537730693817139,-1.0010336637496948,0.8377740383148193,-0.7651168704032898,-0.8561897873878479,-0.7674360871315002,-0.9219244122505188,0.0
8,-0.907050371170044,-0.7247647643089294,-0.8541890978813171,-0.6958922743797302,-1.086277723312378,-0.5101756453514099,0.7711683511734009,0.7927826046943665,-0.8059252500534058,0.6457651257514954,-0.9983582496643066,0.8414925932884216,-0.7825657725334167,-0.8573433756828308,-0.7583627104759216,-0.8991112112998962,0.0
9,-0.9335565567016602,-0.7335547208786011,-0.8684328198432922,-0.6955839991569519,-1.119126558303833,-0.5132858753204346,0.7727487683296204,0.7870283722877502,-0.8263295292854309,0.6416414380073547,-1.0051217079162598,0.8522405624389648,-0.8070253133773804,-0.8634427189826965,-0.7554638385772705,-0.8852884769439697,0.0
10,-0.9543505907058716,-0.7342532277107239,-0.8755214810371399,-0.6868941783905029,-1.14067542552948,-0.51639324426651,0.7657178640365601,0.7680516242980957,-0.8388468623161316,0.6287916898727417,-0.9965658187866211,0.8547396659851074,-0.823482871055603,-0.8619584441184998,-0.7416478395462036,-0.8536198735237122,0.0
11,-0.9784597754478455,-0.7347925305366516,-0.8824277520179749,-0.6777761578559875,-1.166618824005127,-0.5219057202339172,0.7587416172027588,0.7497318387031555,-0.8531710505485535,0.615752637386322,-0.9899887442588806,0.8576200008392334,-0.8436543941497803,-0.8606067895889282,-0.7279931306838989,-0.8227753043174744,0.0
12,-1.002582311630249,-0.7374144792556763,-0.8901777863502502,-0.669632077217102,-1.196192741394043,-0.5258711576461792,0.7518035173416138,0.7322788834571838,-0.8689971566200256,0.6023471355438232,-0.9844858646392822,0.8622941374778748,-0.8670344352722168,-0.8604360818862915,-0.7149586081504822,-0.7929022312164307,0.0
13,-1.0328997373580933,-0.7477725744247437,-0.903910756111145,-0.6696276068687439,-1.2340631484985352,-0.5297778844833374,0.7491633892059326,0.7234678864479065,-0.8911827206611633,0.5961843729019165,-0.9880219101905823,0.876347005367279,-0.8983539938926697,-0.865291953086853,-0.7090831995010376,-0.7755050659179688,0.0
14,-1.0536566972732544,-0.7461780905723572,-0.9112505316734314,-0.6570244431495667,-1.2568641901016235,-0.534332275390625,0.7343115210533142,0.696558952331543,-0.9044585824012756,0.5765339136123657,-0.9704996943473816,0.878120481967926,-0.9175160527229309,-0.8604912757873535,-0.6876754760742188,-0.7342859506607056,0.0
15,-1.0949450731277466,-0.7691392302513123,-0.9337170720100403,-0.6723915338516235,-1.306526780128479,-0.5348320603370667,0.740119993686676,0.7047346234321594,-0.9388434886932373,0.5819194912910461,-0.9902465343475342,0.9102576971054077,-0.9621304273605347,-0.8729915618896484,-0.6953884363174438,-0.739242672920227,0.0
