epoch,train_loss
0,1.9088620551268136
1,1.2207695794003801
2,0.9412371945302729
3,0.8276144377321576
4,0.7716835761005946
5,0.7403395461974438
6,0.7207143497406983
7,0.7086619027396593
8,0.7007391627571203
9,0.6953368695519041
10,0.6914899818044895
11,0.6889216200453251
12,0.6873125855070695
13,0.6863919877948783
14,0.6859164905490936
15,0.6855374892495566
16,0.6851212024631628
17,0.6849071923834629
18,0.6846759764296378
19,0.6845834286950602
20,0.6847218720061146
21,0.6843315863552287
22,0.6841575233084569
23,0.6842831675154566
24,0.6840127793890856
25,0.6838433790149923
26,0.6836703848781834
27,0.6835566616001387
28,0.6836552651666256
29,0.6832885678552272
30,0.6832123668931612
31,0.683110957934727
32,0.6829672932567904
33,0.6830044317188567
34,0.6829375410023045
35,0.6828919426543232
36,0.6832015363318413
37,0.6825307679119453
38,0.6823555660190941
39,0.6822358655872713
40,0.6822247091872267
41,0.6821057494424563
42,0.6820008683147818
43,0.6819776542924635
44,0.6817575859966686
45,0.6818113374653266
46,0.6816385507526815
47,0.6817161552054499
48,0.6816412862085124
49,0.6811651468220215
50,0.6811581182423095
51,0.6813324769281195
52,0.6809068735383831
53,0.6809259462299824
54,0.6809334731045246
55,0.6812885689678639
56,0.6814269026063718
57,0.6805709385815174
58,0.6805287901503755
59,0.6805267747186535
