epoch,train_loss
0,0.7545816854946297
1,0.7017451459325116
2,0.6635354354018048
3,0.6461110401110651
4,0.6368068298126437
5,0.6298110985416241
6,0.6270653386512303
7,0.628270993641006
8,0.6245506123284957
9,0.6256419853477291
10,0.6251717827045006
11,0.6260844419280325
12,0.6256914521458151
13,0.6249246570608177
14,0.6249930264512862
15,0.6245995665623006
16,0.625659349005887
17,0.6259981294873209
18,0.624460479796522
19,0.6256336699111585
20,0.6253104894604454
21,0.6245751119179659
22,0.6250623683744285
23,0.6244560536617805
24,0.625135496544431
25,0.6248121334373642
26,0.624949429821925
27,0.6248876710746127
28,0.625518734606528
29,0.6247648105153445
30,0.6246315017687332
31,0.6245287872011117
32,0.6256075406388316
33,0.6245504871747994
34,0.6254011757388366
35,0.6258819373806498
36,0.6243087458050782
37,0.624560517587656
38,0.6258905335985937
39,0.62533243427382
40,0.6244764821344335
41,0.624964714940001
42,0.626650243587699
43,0.6248634318731975
44,0.624329222593624
45,0.6244640430203647
46,0.6245250474486622
47,0.6259352578859023
48,0.6246006055348944
49,0.6247592626484678
50,0.625852192712571
51,0.625694052097998
52,0.6258207778357819
53,0.6246020749299424
54,0.6248970466707542
55,0.6246270486619692
56,0.6269452956539433
57,0.62587533311045
58,0.6248030742518131
59,0.6243324922554166
