dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss,convergence_time
nwpu,20,3.0,0.0,3.0,3.0,0.49999999975,0.549999999725,269.62989497184753,4.493831582864126,16.0,0.6765493222668584,
nwpu,20,3.0,0.0,4.0,2.0,0.49999999975,0.49999999975,290.0938436985016,4.834897394975027,8.0,0.6889278450143846,
nwpu,20,3.0,0.0,4.0,1.0,0.549999999725,0.549999999725,490.1624782085418,8.169374636809032,16.0,0.6911713221193573,
nwpu,20,3.0,0.0,4.0,3.0,0.49999999975,0.49999999975,407.7681996822357,6.796136661370595,16.0,0.6811384465865014,
nwpu,40,3.0,0.0,3.0,1.0,0.52499999986875,0.5499999998625,413.3432703018189,6.889054505030314,17.0,0.6888271097606927,
nwpu,40,3.0,0.0,3.0,2.0,0.5749999998562499,0.5499999998625,543.299464225769,9.054991070429484,17.0,0.6878279958435918,
nwpu,640,2.0,0.0,4.0,1.0,0.63499999996825,0.63499999996825,8098.882923603058,134.98138206005098,59.0,0.6859581839931119,
nwpu,40,3.0,0.0,3.0,3.0,0.5749999998562499,0.5499999998625,486.26323223114014,8.104387203852335,7.0,0.6764761046864184,
nwpu,40,3.0,0.0,4.0,1.0,0.52499999986875,0.52499999986875,549.8220956325531,9.163701593875883,17.0,0.6928293870147504,
nwpu,40,3.0,0.0,4.0,3.0,0.5499999998625,0.5499999998625,645.6238777637482,10.760397962729137,17.0,0.6845651142077879,
nwpu,5120,1.0,0.0,4.0,2.0,0.499999999975,0.499999999975,16903.449978113174,281.7241663018862,60.0,0.6965312681934804,
nwpu,40,3.0,0.0,4.0,2.0,0.5499999998625,0.5499999998625,719.2571477890015,11.987619129816691,7.0,0.689124719924307,
nwpu,80,3.0,0.0,3.0,1.0,0.54999999993125,0.4999999999375,942.4865889549257,15.708109815915426,11.0,0.6906036578745663,
nwpu,2560,1.0,0.0,4.0,2.0,0.539999999973,0.539999999973,18686.342517375942,311.4390419562658,60.0,0.6928204401276392,
nwpu,5120,1.0,0.0,4.0,3.0,0.63499999996825,0.63499999996825,17148.25511431694,285.80425190528234,60.0,0.6834550241572329,
nwpu,80,3.0,0.0,3.0,2.0,0.6874999999140625,0.724999999909375,891.114504814148,14.851908413569133,11.0,0.6848515748121597,
