dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
sat_data,40,2,0,4,3,0.499999999875,0.499999999875,1123.5632619857788,18.726054366429647,17
sat_data,40,1,0,4,3,0.6999999998249999,0.6999999998249999,1175.4376571178436,19.590627618630727,17
sat_data,80,2,0,3,3,0.7999999999,0.5874999999265625,1173.5354375839233,19.558923959732056,33
sat_data,20,3,0,3,1,0.7999999996,0.8499999995749999,468.84499764442444,7.814083294073741,28
sat_data,20,3,0,3,2,0.749999999625,0.7999999996,479.84407591819763,7.997401265303294,9
sat_data,40,2,0,4,2,0.6999999998249999,0.6999999998249999,1258.7746217250824,20.979577028751372,10
sat_data,40,1,0,4,1,0.52499999986875,0.52499999986875,1264.1768174171448,21.06961362361908,39
sat_data,20,3,0,3,3,0.7999999996,0.7999999996,479.681209564209,7.99468682607015,28
sat_data,80,1,0,3,1,0.7749999999031251,0.6624999999171876,1308.3468239307404,21.805780398845673,60
sat_data,80,2,0,3,1,0.7374999999078126,0.64999999991875,1344.091731786728,22.40152886311213,47
sat_data,20,3,0,4,1,0.749999999625,0.749999999625,585.9222931861877,9.76537155310313,25
sat_data,20,3,0,4,2,0.7999999996,0.7999999996,609.5464997291565,10.159108328819276,9
sat_data,40,3,0,3,1,0.6499999998375,0.47499999988124997,559.0489768981934,9.317482948303223,17
sat_data,20,3,0,4,3,0.7999999996,0.7999999996,594.3255877494812,9.905426462491354,28
sat_data,80,1,0,3,2,0.7624999999046875,0.6749999999156251,1508.638025045395,25.143967084089915,13
sat_data,80,1,0,3,3,0.7874999999015626,0.64999999991875,1593.6338231563568,26.560563719272615,33
sat_data,80,2,0,3,2,0.7124999999109376,0.624999999921875,1798.4348192214966,29.97391365369161,13
sat_data,80,2,0,4,1,0.6874999999140625,0.6874999999140625,1880.569501399994,31.34282502333323,40
sat_data,40,3,0,3,2,0.52499999986875,0.5499999998625,900.6209442615509,15.010349071025848,17
sat_data,40,3,0,3,3,0.8499999997875,0.52499999986875,904.9930546283722,15.083217577139537,51
sat_data,40,3,0,4,1,0.6499999998375,0.6499999998375,919.4836995601654,15.324728326002758,10
sat_data,80,1,0,4,1,0.7124999999109376,0.7124999999109376,1980.8587715625763,33.01431285937627,55
sat_data,80,1,0,4,3,0.6624999999171876,0.6624999999171876,2016.3574197292328,33.60595699548721,55
sat_data,160,2,0,3,1,0.768749999951953,0.6937499999566406,2029.4870142936707,33.82478357156118,50
sat_data,80,2,0,4,2,0.64999999991875,0.64999999991875,2173.462252855301,36.22437088092168,6
sat_data,40,3,0,4,3,0.6999999998249999,0.6999999998249999,1052.8121948242188,17.54686991373698,39
sat_data,40,3,0,4,2,0.72499999981875,0.72499999981875,1133.8215835094452,18.897026391824088,10
sat_data,20,4,0,4,1,0.6999999996499999,0.6999999996499999,282.6769597530365,4.711282662550608,16
sat_data,80,3,0,3,1,0.7749999999031251,0.6624999999171876,1180.2518365383148,19.670863942305246,33
sat_data,20,4,0,3,1,0.7999999996,0.7999999996,403.75292444229126,6.729215407371521,28
sat_data,80,1,0,4,2,0.6874999999140625,0.6874999999140625,2422.7803025245667,40.37967170874278,13
sat_data,20,4,0,3,3,0.749999999625,0.6999999996499999,455.85293316841125,7.597548886140188,28
sat_data,20,4,0,3,2,0.7999999996,0.6999999996499999,498.8004860877991,8.313341434796651,50
sat_data,160,2,0,3,3,0.7499999999531249,0.6687499999582031,2082.7009851932526,34.71168308655421,58
sat_data,80,2,0,4,3,0.724999999909375,0.724999999909375,2514.691188812256,41.911519813537595,33
sat_data,160,1,0,3,2,0.7624999999523437,0.718749999955078,2604.3563961982727,43.40593993663788,24
sat_data,160,1,0,3,1,0.8124999999492187,0.7124999999554688,2736.536065340042,45.60893442233404,39
sat_data,40,4,0,3,2,0.4499999998875,0.32499999991875,441.23071575164795,7.353845262527466,10
sat_data,80,3,0,3,2,0.5999999999250001,0.6124999999234375,1560.654753446579,26.010912557442982,33
sat_data,20,4,0,4,3,0.7999999996,0.7999999996,573.2924346923828,9.554873911539714,28
sat_data,20,4,0,4,2,0.6999999996499999,0.6999999996499999,634.2451446056366,10.570752410093943,9
sat_data,80,3,0,3,3,0.7624999999046875,0.6749999999156251,1631.217516899109,27.186958614985148,33
sat_data,160,2,0,3,2,0.7749999999515624,0.69999999995625,2903.31218457222,48.388536409537,24
sat_data,40,4,0,3,1,0.7499999998125,0.499999999875,676.9681825637817,11.282803042729695,17
sat_data,40,4,0,3,3,0.8249999997937499,0.5499999998625,581.3226456642151,9.68871076107025,17
sat_data,80,3,0,4,3,0.6874999999140625,0.6874999999140625,1724.9284174442291,28.74880695740382,47
sat_data,80,3,0,4,1,0.6999999999125001,0.6999999999125001,2097.7369351387024,34.96228225231171,12
sat_data,80,3,0,4,2,0.6749999999156251,0.6749999999156251,2244.9820370674133,37.41636728445689,6
sat_data,80,4,0,3,2,0.7874999999015626,0.6124999999234375,1023.4741821289062,17.057903035481772,6
sat_data,40,4,0,4,2,0.67499999983125,0.67499999983125,1121.568472146988,18.692807869116464,17
sat_data,160,2,0,4,1,0.7812499999511718,0.7812499999511718,3151.456923723221,52.52428206205368,30
sat_data,160,1,0,3,3,0.7562499999527343,0.6624999999585938,3589.6523761749268,59.827539602915444,24
sat_data,40,4,0,4,3,0.67499999983125,0.67499999983125,1157.1023571491241,19.285039285818737,27
sat_data,160,3,0,3,1,0.7874999999507812,0.7124999999554688,2331.920531272888,38.86534218788147,30
sat_data,40,4,0,4,1,0.72499999981875,0.72499999981875,1273.2005054950714,21.220008424917857,17
sat_data,80,4,0,3,1,0.7749999999031251,0.64999999991875,1184.1777770519257,19.73629628419876,12
sat_data,160,2,0,4,3,0.69999999995625,0.69999999995625,3277.4525651931763,54.62420941988627,30
sat_data,20,5,0,3,1,0.649999999675,0.6999999996499999,257.22136926651,4.2870228211085,28
sat_data,160,1,0,4,3,0.7624999999523437,0.7624999999523437,3968.2004623413086,66.13667437235515,24
sat_data,20,5,0,4,2,0.7999999996,0.7999999996,341.85683488845825,5.697613914807637,25
sat_data,160,1,0,4,2,0.7249999999546874,0.7249999999546874,4054.7419357299805,67.57903226216634,24
sat_data,20,5,0,3,3,0.749999999625,0.6999999996499999,424.2373766899109,7.0706229448318485,28
sat_data,20,5,0,3,2,0.7999999996,0.749999999625,481.45099782943726,8.024183297157288,9
sat_data,160,1,0,4,1,0.7749999999515624,0.7749999999515624,4177.6097457408905,69.62682909568152,39
sat_data,40,5,0,3,1,0.77499999980625,0.4499999998875,471.6861915588379,7.861436525980632,52
sat_data,20,5,0,4,1,0.49999999975,0.49999999975,532.3027303218842,8.871712172031403,28
sat_data,80,4,0,3,3,0.7374999999078126,0.64999999991875,1752.4326736927032,29.207211228211722,13
sat_data,80,4,0,4,3,0.6874999999140625,0.6874999999140625,1521.4007833003998,25.35667972167333,60
sat_data,160,2,0,4,2,0.7812499999511718,0.7812499999511718,3854.4751806259155,64.24125301043192,24
sat_data,80,4,0,4,1,0.6999999999125001,0.6999999999125001,1755.4456269741058,29.257427116235096,12
sat_data,20,5,0,4,3,0.8499999995749999,0.8499999995749999,698.7708294391632,11.64618049065272,41
sat_data,160,3,0,3,2,0.8124999999492187,0.768749999951953,3034.6842608451843,50.578071014086404,17
sat_data,80,4,0,4,2,0.6999999999125001,0.6999999999125001,1680.512018442154,28.008533640702566,13
sat_data,40,5,0,3,2,0.7999999998,0.5499999998625,569.3461065292358,9.489101775487264,10
sat_data,160,3,0,4,3,0.7874999999507812,0.7874999999507812,2997.577743291855,49.959629054864244,39
sat_data,40,5,0,3,3,0.7999999998,0.59999999985,684.777508020401,11.412958467006684,17
sat_data,320,1,0,3,1,0.7156249999776367,0.6156249999807617,4768.645055055618,79.47741758426031,40
sat_data,160,3,0,4,2,0.7562499999527343,0.7562499999527343,3340.2538204193115,55.670897006988525,4
sat_data,40,5,0,4,1,0.6999999998249999,0.6999999998249999,877.3636357784271,14.622727262973786,39
sat_data,160,3,0,3,3,0.7999999999499999,0.7124999999554688,3451.748932123184,57.52914886871974,30
sat_data,40,5,0,4,2,0.6499999998375,0.6499999998375,1033.4395637512207,17.22399272918701,10
sat_data,40,5,0,4,3,0.52499999986875,0.52499999986875,1074.547903060913,17.909131717681884,17
sat_data,80,5,0,3,3,0.7874999999015626,0.6874999999140625,1075.9781975746155,17.932969959576926,46
sat_data,160,4,0,3,2,0.7624999999523437,0.6749999999578125,2491.5800836086273,41.526334726810454,12
sat_data,20,6,0,3,1,0.5999999997,0.5999999997,480.89176988601685,8.014862831433614,28
sat_data,320,2,0,3,1,0.6749999999789063,0.6156249999807617,5102.711493253708,85.04519155422847,48
sat_data,20,6,0,3,3,0.8499999995749999,0.7999999996,329.4239013195038,5.4903983553250635,28
sat_data,160,3,0,4,1,0.718749999955078,0.718749999955078,4202.092842102051,70.03488070170084,21
sat_data,80,5,0,3,2,0.7124999999109376,0.6124999999234375,1568.0520288944244,26.13420048157374,13
sat_data,20,6,0,3,2,0.749999999625,0.6999999996499999,630.1231257915497,10.502052096525828,9
sat_data,160,4,0,3,1,0.7999999999499999,0.6937499999566406,3127.4959626197815,52.124932710329695,24
sat_data,20,6,0,4,1,0.49999999975,0.49999999975,630.4458689689636,10.507431149482727,16
sat_data,80,5,0,3,1,0.7374999999078126,0.6624999999171876,1880.6401085853577,31.344001809755962,47
sat_data,80,5,0,4,3,0.624999999921875,0.624999999921875,1670.601999282837,27.84336665471395,60
sat_data,80,5,0,4,1,0.7124999999109376,0.7124999999109376,2049.210608482361,34.15351014137268,60
sat_data,20,6,0,4,2,0.7999999996,0.7999999996,736.2004935741425,12.270008226235708,9
sat_data,40,6,0,3,1,0.6999999998249999,0.4499999998875,747.8709375858307,12.464515626430511,17
sat_data,20,6,0,4,3,0.6999999996499999,0.6999999996499999,826.2995457649231,13.771659096082052,28
sat_data,320,2,0,3,3,0.7124999999777344,0.6281249999803711,5917.365866422653,98.62276444037755,33
sat_data,160,4,0,3,3,0.8249999999484374,0.6937499999566406,3801.9751772880554,63.36625295480092,39
sat_data,320,1,0,3,2,0.6499999999796875,0.6062499999810547,6613.127495765686,110.21879159609476,17
sat_data,160,4,0,4,2,0.6812499999574219,0.6812499999574219,3746.098617076874,62.43497695128123,24
sat_data,40,6,0,3,2,0.7499999998125,0.62499999984375,1027.7668125629425,17.12944687604904,17
sat_data,320,1,0,3,3,0.7312499999771485,0.6281249999803711,6676.104996442795,111.26841660737992,33
sat_data,320,2,0,3,2,0.6499999999796875,0.5874999999816406,6299.00356054306,104.98339267571767,33
sat_data,40,6,0,4,1,0.59999999985,0.59999999985,1019.1094863414764,16.985158105691273,10
sat_data,160,4,0,4,3,0.7812499999511718,0.7812499999511718,3872.2206676006317,64.5370111266772,24
sat_data,160,4,0,4,1,0.7499999999531249,0.7499999999531249,3966.3177449703217,66.10529574950536,17
sat_data,80,5,0,4,2,0.6999999999125001,0.6999999999125001,2553.115933895111,42.551932231585184,13
sat_data,40,6,0,3,3,0.5499999998625,0.499999999875,1183.3255701065063,19.722092835108437,17
sat_data,80,6,0,3,2,0.7124999999109376,0.6749999999156251,1209.618037700653,20.160300628344217,42
sat_data,40,6,0,4,2,0.72499999981875,0.72499999981875,1284.9744563102722,21.416240938504536,10
sat_data,40,6,0,4,3,0.6499999998375,0.6499999998375,1380.41752743721,23.006958790620168,4
sat_data,160,5,0,3,3,0.7624999999523437,0.6812499999574219,3044.7441873550415,50.74573645591736,30
sat_data,20,7,0,3,1,0.49999999975,0.549999999725,314.5592927932739,5.2426548798878985,28
sat_data,20,7,0,3,2,0.749999999625,0.749999999625,488.2356631755829,8.137261052926382,41
sat_data,160,5,0,4,2,0.7749999999515624,0.7749999999515624,3337.8839540481567,55.63139923413595,17
sat_data,160,5,0,3,2,0.7499999999531249,0.7249999999546874,3434.2974321842194,57.23829053640365,17
sat_data,20,7,0,3,3,0.6999999996499999,0.6999999996499999,505.93117809295654,8.432186301549276,28
sat_data,160,5,0,3,1,0.7812499999511718,0.6874999999570313,3564.5883255004883,59.40980542500814,39
sat_data,160,5,0,4,1,0.6124999999617187,0.6124999999617187,3514.737895965576,58.578964932759604,60
sat_data,320,2,0,4,1,0.7406249999768555,0.7406249999768555,7338.706278085709,122.31177130142848,30
sat_data,20,7,0,4,2,0.7999999996,0.7999999996,446.23343300819397,7.437223883469899,9
sat_data,80,6,0,4,2,0.724999999909375,0.724999999909375,1638.9525065422058,27.315875109036764,33
sat_data,320,3,0,3,2,0.6781249999788086,0.6624999999792969,6448.256095409393,107.47093492348989,17
sat_data,320,1,0,4,3,0.690624999978418,0.690624999978418,7987.439987659454,133.12399979432425,57
sat_data,20,7,0,4,1,0.29999999985,0.29999999985,588.8080167770386,9.813466946283976,25
sat_data,80,6,0,3,1,0.7999999999,0.6624999999171876,2079.5385167598724,34.65897527933121,12
sat_data,80,6,0,3,3,0.8374999998953125,0.6124999999234375,1799.058845281601,29.984314088026682,13
sat_data,320,3,0,3,3,0.7343749999770508,0.6531249999795898,6284.7100121974945,104.74516686995824,33
sat_data,320,1,0,4,1,0.6374999999800781,0.6374999999800781,8148.876981496811,135.81461635828018,48




















sat_data,320,1,0,4,2,0.6499999999796875,0.6499999999796875,8250.717226028442,137.5119537671407,33
sat_data,160,5,0,4,3,0.7624999999523437,0.7624999999523437,3809.9392976760864,63.49898829460144,30
sat_data,20,7,0,4,3,0.649999999675,0.649999999675,595.7792589664459,9.929654316107433,28
sat_data,80,6,0,4,1,0.7124999999109376,0.7124999999109376,2066.4832742214203,34.44138790369034,12
sat_data,80,6,0,4,3,0.6624999999171876,0.6624999999171876,2036.1518285274506,33.93586380879084,13
sat_data,40,7,0,3,1,0.6999999998249999,0.4499999998875,695.0590515136719,11.584317525227865,17
sat_data,40,7,0,3,3,0.7999999998,0.499999999875,769.8318591117859,12.83053098519643,39
sat_data,40,7,0,3,2,0.6499999998375,0.3999999999,808.654967546463,13.47758279244105,17
sat_data,320,3,0,3,1,0.7187499999775391,0.6218749999805664,7163.164469718933,119.38607449531555,57
sat_data,160,6,0,3,1,0.7937499999503906,0.69999999995625,2281.0844435691833,38.01807405948639,24
sat_data,40,7,0,4,2,0.72499999981875,0.72499999981875,896.4853613376617,14.94142268896103,17
sat_data,40,7,0,4,1,0.499999999875,0.499999999875,1010.5736639499664,16.842894399166106,10
sat_data,320,4,0,3,1,0.6749999999789063,0.5906249999815429,5981.821535587311,99.69702559312185,48
sat_data,320,3,0,4,1,0.6031249999811523,0.6031249999811523,7091.569933652878,118.19283222754797,18
sat_data,20,8,0,3,1,0.749999999625,0.749999999625,250.6931347846985,4.178218913078308,25
sat_data,40,7,0,4,3,0.6999999998249999,0.6999999998249999,1121.94842004776,18.699140334129332,17
sat_data,320,4,0,3,2,0.5968749999813476,0.5656249999823242,6118.731343269348,101.9788557211558,33
sat_data,320,2,0,4,2,0.6531249999795898,0.6531249999795898,8488.250137329102,141.4708356221517,33
sat_data,20,8,0,3,3,0.89999999955,0.8499999995749999,397.2362413406372,6.6206040223439535,28
sat_data,80,7,0,3,2,0.8124999998984376,0.624999999921875,1289.0058023929596,21.48343003988266,13
sat_data,20,8,0,4,1,0.7999999996,0.7999999996,391.62906289100647,6.527151048183441,50
sat_data,80,7,0,3,1,0.7999999999,0.64999999991875,1390.413315296173,23.17355525493622,12
sat_data,320,5,0,3,1,0.6781249999788086,0.6124999999808594,4850.152052640915,80.83586754401524,48
sat_data,20,8,0,3,2,0.7999999996,0.749999999625,572.1329503059387,9.535549171765645,9
sat_data,320,4,0,3,3,0.7562499999763672,0.7343749999770508,6157.76905632019,102.62948427200317,60
sat_data,20,8,0,4,2,0.8499999995749999,0.8499999995749999,570.9550907611847,9.515918179353077,9
sat_data,20,8,0,4,3,0.749999999625,0.749999999625,628.9774363040924,10.482957271734874,9
sat_data,80,7,0,3,3,0.8499999998937501,0.6999999999125001,1664.4171471595764,27.740285785992942,46
sat_data,160,6,0,3,3,0.8249999999484374,0.6812499999574219,3034.7148654460907,50.578581090768175,17
sat_data,160,6,0,3,2,0.7374999999539062,0.7499999999531249,3054.474199771881,50.90790332953135,24
sat_data,40,8,0,3,3,0.7999999998,0.499999999875,655.9969234466553,10.933282057444254,39
