dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,160,4,0,3,1,0.5124999999679687,0.5062499999683594,3579.9024097919464,59.66504016319911
eurosat,160,4,0,3,2,0.5062499999683594,0.5187499999675781,3168.9552042484283,52.81592007080714
eurosat,160,4,0,3,2,0.5062499999683594,0.5187499999675781,3168.9552042484283,52.81592007080714
eurosat,160,4,0,3,3,0.4749999999703125,0.4749999999703125,3391.0268926620483,56.517114877700806
eurosat,160,4,0,3,3,0.4749999999703125,0.4749999999703125,3391.0268926620483,56.517114877700806
eurosat,160,4,0,4,1,0.49999999996875,0.49999999996875,4510.07169008255,75.16786150137584
eurosat,160,4,0,4,1,0.49999999996875,0.49999999996875,4510.07169008255,75.16786150137584
eurosat,160,4,0,4,2,0.4749999999703125,0.4749999999703125,4797.606055498123,79.96010092496871
eurosat,160,4,0,4,2,0.4749999999703125,0.4749999999703125,4797.606055498123,79.96010092496871
eurosat,160,4,0,4,3,0.4749999999703125,0.4749999999703125,5196.942900180817,86.6157150030136
eurosat,160,4,0,4,3,0.4749999999703125,0.4749999999703125,5196.942900180817,86.6157150030136
eurosat,20,1,0,3,1,0.3999999998,0.3999999998,180.6188063621521,3.0103134393692015
eurosat,20,1,0,3,1,0.3999999998,0.3999999998,180.6188063621521,3.0103134393692015
eurosat,20,1,0,3,2,0.3999999998,0.3999999998,243.6991777420044,4.06165296236674
eurosat,20,1,0,3,2,0.3999999998,0.3999999998,243.6991777420044,4.06165296236674
eurosat,20,1,0,3,3,0.3999999998,0.3999999998,235.72971439361572,3.928828573226929
eurosat,20,1,0,3,3,0.3999999998,0.3999999998,235.72971439361572,3.928828573226929
eurosat,20,1,0,4,1,0.3999999998,0.3999999998,312.18842482566833,5.203140413761139
eurosat,20,1,0,4,1,0.3999999998,0.3999999998,312.18842482566833,5.203140413761139
eurosat,20,1,0,4,2,0.3999999998,0.3999999998,313.96781039237976,5.232796839872996
eurosat,20,1,0,4,2,0.3999999998,0.3999999998,313.96781039237976,5.232796839872996
