dataset,N,seed,p_err,non_equivariance,val_acc,val_aug_acc,training_time,epoch_time
nwpu,160,2,0,4,0.5562499999652344,0.5562499999652344,2575.1286675930023,32.189108344912526
eurosat,1280,1,0,3,0.49333333332922225,0.48833333332926393,15040.035605192184,188.0004450649023
mnist,160,2,0,4,0.5062499999683594,0.5062499999683594,3011.0602667331696,37.63825333416462
nwpu,160,2,0,4,0.6187499999613281,0.6187499999613281,2878.1605880260468,35.977007350325586
eurosat,160,2,0,4,0.4749999999703125,0.4749999999703125,3029.8562541007996,37.87320317625999
mnist,160,2,0,4,0.5437499999660156,0.5437499999660156,3112.05513715744,38.900689214468
eurosat,160,2,0,4,0.4749999999703125,0.4749999999703125,3059.325514316559,38.24156892895699
eurosat,1280,1,0,3,0.47916666666267366,0.47916666666267366,16154.697103738785,201.93371379673482
nwpu,1280,1,0,3,0.6749999999662499,0.659999999967,17003.003273010254,212.53754091262817
mnist,1280,1,0,3,0.9609374999924928,0.8093749999936768,16525.033352851868,206.56291691064834
mnist,320,2,0,3,0.9499999999703125,0.818749999974414,3620.283301115036,45.25354126393795
nwpu,320,2,0,3,0.57499999997125,0.5799999999709999,3928.9412875175476,49.111766093969344
mnist,320,2,0,3,0.918749999971289,0.7874999999753906,3874.993462562561,48.43741828203201
eurosat,320,2,0,3,0.5968749999813476,0.5593749999825195,3529.155722141266,44.114446526765825
eurosat,320,2,0,3,0.4656249999854492,0.4656249999854492,4108.090411424637,51.35113014280796
nwpu,320,2,0,3,0.69499999996525,0.68499999996575,4598.602228403091,57.48252785503864
mnist,320,2,0,3,0.9624999999699219,0.8218749999743163,4394.56786942482,54.93209836781025
nwpu,320,2,0,3,0.60499999996975,0.60499999996975,4547.921604156494,56.849020051956174
eurosat,320,2,0,3,0.48124999998496093,0.46874999998535155,4535.477393865585,56.69346742331982
nwpu,1280,1,0,4,0.6149999999692499,0.6149999999692499,19146.87780714035,239.33597258925437
eurosat,320,2,0,4,0.4499999999859375,0.4499999999859375,4782.882961988449,59.78603702485562
mnist,320,2,0,4,0.5937499999814453,0.5937499999814453,5603.425492763519,70.042818659544
nwpu,320,2,0,4,0.6749999999662499,0.6749999999662499,5510.306328058243,68.87882910072804
mnist,320,2,0,4,0.8468749999735351,0.8468749999735351,5320.826824903488,66.5103353112936
eurosat,320,2,0,4,0.4499999999859375,0.4499999999859375,5586.807853221893,69.83509816527366
nwpu,320,2,0,4,0.6749999999662499,0.6749999999662499,5783.933100938797,72.29916376173496
mnist,320,2,0,4,0.8687499999728515,0.8687499999728515,6014.340615510941,75.17925769388675
nwpu,320,2,0,4,0.6899999999655,0.6899999999655,6083.199957847595,76.03999947309494
eurosat,320,2,0,4,0.4499999999859375,0.4499999999859375,5822.768102884293,72.78460128605366
mnist,1280,1,0,4,0.6156249999951905,0.6156249999951905,21611.351497888565,270.14189372360704
eurosat,1280,1,0,4,0.5324999999955625,0.5324999999955625,21300.27577471733,266.2534471839666
nwpu,1280,1,0,4,0.6299999999685,0.6299999999685,20769.596947193146,259.6199618399143
mnist,640,2,0,3,0.9562499999850586,0.7749999999878906,7519.229714393616,93.9903714299202
eurosat,640,2,0,3,0.5249999999917969,0.5203124999918701,7629.353400230408,95.3669175028801
mnist,640,2,0,3,0.8109374999873291,0.7124999999888671,7781.121703386307,97.26402129232883
mnist,640,2,0,3,0.9656249999849121,0.8062499999874023,7442.969323396683,93.03711654245853
nwpu,1280,1,0,4,0.62499999996875,0.62499999996875,21762.89488363266,272.0361860454083
eurosat,1280,1,0,4,0.4724999999960625,0.4724999999960625,21579.96014356613,269.74950179457664
eurosat,640,2,0,3,0.5234374999918213,0.5187499999918945,7779.839595556259,97.24799494445324
nwpu,640,2,0,3,0.6699999999665,0.6699999999665,8077.9833216667175,100.97479152083397
nwpu,640,2,0,3,0.659999999967,0.6449999999677499,8124.773927927017,101.55967409908772
nwpu,640,2,0,3,0.6749999999662499,0.66499999996675,9359.518411874771,116.99398014843464
mnist,1280,1,0,4,0.8929687499930238,0.8929687499930238,22825.19919848442,285.31498998105525
mnist,1280,1,0,4,0.8992187499929749,0.8992187499929749,23914.11313033104,298.926414129138
mnist,20,3,0,3,0.5999999997,0.549999999725,213.99918055534363,2.6749897569417955
nwpu,20,3,0,3,0.49999999975,0.49999999975,216.7440640926361,2.7093008011579514
eurosat,640,2,0,3,0.5203124999918701,0.5218749999918457,9512.591300487518,118.90739125609397
eurosat,20,3,0,3,0.3999999998,0.3999999998,216.46633577346802,2.70582919716835
eurosat,1280,1,0,4,0.5274999999956043,0.5274999999956043,23645.128356456757,295.56410445570947
mnist,20,3,0,3,0.749999999625,0.649999999675,289.5114805698395,3.6188935071229933
nwpu,20,3,0,3,0.549999999725,0.549999999725,219.30279159545898,2.741284894943237
eurosat,20,3,0,3,0.3999999998,0.3999999998,253.09409713745117,3.16367621421814
nwpu,20,3,0,3,0.549999999725,0.49999999975,221.75152206420898,2.771894025802612
mnist,20,3,0,3,0.5999999997,0.5999999997,291.91664361953735,3.6489580452442167
eurosat,20,3,0,3,0.3999999998,0.3999999998,257.79553723335266,3.222444215416908
mnist,20,3,0,4,0.549999999725,0.549999999725,292.1995806694031,3.6524947583675385
nwpu,20,3,0,4,0.34999999982499996,0.34999999982499996,367.89682030677795,4.598710253834724
eurosat,20,3,0,4,0.3999999998,0.3999999998,328.44138073921204,4.10551725924015
mnist,20,3,0,4,0.549999999725,0.549999999725,311.00392627716064,3.887549078464508
nwpu,640,2,0,4,0.679999999966,0.679999999966,10542.952243566513,131.7869030445814
eurosat,20,3,0,4,0.3999999998,0.3999999998,344.8701808452606,4.310877260565758
nwpu,20,3,0,4,0.5999999997,0.5999999997,387.26154494285583,4.840769311785698
mnist,20,3,0,4,0.549999999725,0.549999999725,328.7958962917328,4.10994870364666
nwpu,20,3,0,4,0.29999999985,0.29999999985,404.94368052482605,5.061796006560326
eurosat,640,2,0,4,0.5218749999918457,0.5218749999918457,10541.361581087112,131.7670197635889
eurosat,20,3,0,4,0.3999999998,0.3999999998,363.4172086715698,4.5427151083946224
mnist,40,3,0,3,0.499999999875,0.499999999875,573.570478439331,7.169630980491638
nwpu,40,3,0,3,0.3999999999,0.3999999999,430.46639037132263,5.380829879641533
nwpu,40,3,0,3,0.37499999990625,0.37499999990625,446.0854103565216,5.57606762945652
mnist,40,3,0,3,0.52499999986875,0.52499999986875,543.826851606369,6.797835645079613
eurosat,40,3,0,3,0.499999999875,0.499999999875,570.8975055217743,7.1362188190221785
mnist,40,3,0,3,0.77499999980625,0.7499999998125,481.6228277683258,6.020285347104073
eurosat,40,3,0,3,0.499999999875,0.499999999875,577.1439819335938,7.2142997741699215
mnist,640,2,0,4,0.9046874999858643,0.9046874999858643,10878.071096658707,135.97588870823384
mnist,640,2,0,4,0.618749999990332,0.618749999990332,11909.077832460403,148.86347290575503
nwpu,40,3,0,3,0.3999999999,0.3999999999,515.900309085846,6.448753863573074
eurosat,40,3,0,3,0.499999999875,0.499999999875,511.41510939598083,6.392688867449761
nwpu,640,2,0,4,0.6399999999679999,0.6399999999679999,10871.536881923676,135.89421102404594
mnist,40,3,0,4,0.499999999875,0.499999999875,706.7202980518341,8.834003725647927
nwpu,40,3,0,4,0.37499999990625,0.37499999990625,579.5117719173431,7.24389714896679
eurosat,40,3,0,4,0.499999999875,0.499999999875,729.1365854740143,9.114207318425178
mnist,40,3,0,4,0.499999999875,0.499999999875,643.0466134548187,8.038082668185234
eurosat,40,3,0,4,0.499999999875,0.499999999875,689.8086721897125,8.622608402371407
nwpu,40,3,0,4,0.37499999990625,0.37499999990625,732.4404726028442,9.155505907535552
mnist,40,3,0,4,0.499999999875,0.499999999875,797.7019970417023,9.971274963021278
nwpu,40,3,0,4,0.37499999990625,0.37499999990625,704.2336473464966,8.802920591831207
eurosat,40,3,0,4,0.499999999875,0.499999999875,771.6336867809296,9.645421084761619
eurosat,640,2,0,4,0.5218749999918457,0.5218749999918457,11257.569274902344,140.7196159362793
nwpu,640,2,0,4,0.6749999999662499,0.6749999999662499,11227.525067329407,140.34406334161758
mnist,80,3,0,3,0.7874999999015626,0.64999999991875,959.6733980178833,11.995917475223541
eurosat,80,3,0,3,0.42499999994687504,0.42499999994687504,898.8484735488892,11.235605919361115
nwpu,80,3,0,3,0.5374999999328125,0.5124999999359375,1155.2780787944794,14.440975984930992
mnist,80,3,0,3,0.9249999998843751,0.724999999909375,1062.278058052063,13.278475725650788
nwpu,80,3,0,3,0.54999999993125,0.5124999999359375,1096.50283908844,13.706285488605499
mnist,80,3,0,3,0.8499999998937501,0.7624999999046875,983.5059008598328,12.293823760747909
eurosat,80,3,0,3,0.42499999994687504,0.42499999994687504,1149.049331188202,14.363116639852525
mnist,640,2,0,4,0.9140624999857178,0.9140624999857178,11880.901634216309,148.51127042770386
nwpu,80,3,0,3,0.574999999928125,0.49999999993750005,1100.6097075939178,13.757621344923972
eurosat,640,2,0,4,0.5218749999918457,0.5218749999918457,11585.038288593292,144.81297860741614
eurosat,80,3,0,3,0.42499999994687504,0.42499999994687504,1152.5918385982513,14.407397982478141
mnist,80,3,0,4,0.4874999999390625,0.4874999999390625,1172.208023071289,14.652600288391113
nwpu,80,3,0,4,0.5124999999359375,0.5124999999359375,1175.4183988571167,14.692729985713958
eurosat,80,3,0,4,0.42499999994687504,0.42499999994687504,1208.6264674663544,15.10783084332943
nwpu,80,3,0,4,0.49999999993750005,0.49999999993750005,1391.6820249557495,17.396025311946868
mnist,80,3,0,4,0.54999999993125,0.54999999993125,1383.3980178833008,17.29247522354126
eurosat,80,3,0,4,0.42499999994687504,0.42499999994687504,1482.2203934192657,18.527754917740822
mnist,80,3,0,4,0.5999999999250001,0.5999999999250001,1542.7977821826935,19.284972277283668
eurosat,80,3,0,4,0.42499999994687504,0.42499999994687504,1473.2055208683014,18.415069010853767
nwpu,80,3,0,4,0.4874999999390625,0.4874999999390625,1595.4394989013672,19.94299373626709
mnist,160,3,0,3,0.7749999999515624,0.6249999999609375,1799.818675994873,22.497733449935915
nwpu,160,3,0,3,0.49999999996875,0.4937499999691406,1968.843677997589,24.610545974969863
nwpu,160,3,0,3,0.5062499999683594,0.4937499999691406,1789.5633149147034,22.369541436433792
mnist,160,3,0,3,0.7124999999554688,0.5937499999628906,2295.6622817516327,28.69577852189541
eurosat,160,3,0,3,0.4749999999703125,0.4749999999703125,2148.9362845420837,26.861703556776046
eurosat,160,3,0,3,0.4437499999722656,0.45624999997148435,1898.6147553920746,23.73268444240093
nwpu,1280,2,0,3,0.659999999967,0.68499999996575,13781.470857858658,172.26838572323322
nwpu,160,3,0,3,0.4687499999707031,0.44999999997187495,1803.5845520496368,22.54480690062046
