epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,phi
0,-0.43159520626068115,-0.4410937428474426,-0.3590552806854248,0.43694019317626953,-0.3737463355064392,-0.433022141456604,0.40101027488708496,0.391565203666687,-0.403546005487442,-0.4856376647949219,0.4198905825614929,-0.40796101093292236,0.3924209773540497,0.43784070014953613,0.4201638400554657,0.404341459274292,-0.4119454026222229,-0.4283052384853363,0.2617131471633911,0.4627222418785095,-0.42433974146842957,-0.3969011604785919,-0.4117661118507385,-0.41107919812202454,0.0
1,-0.5917866230010986,-0.6432768106460571,-0.42434078454971313,0.6299217343330383,-0.4486035406589508,-0.6102690696716309,0.5023795366287231,0.4741302728652954,-0.5849852561950684,-0.7185352444648743,0.5412412285804749,-0.5168245434761047,0.5012763738632202,0.6047652363777161,0.5845404863357544,0.5007070302963257,-0.41568946838378906,-0.6123571991920471,0.1247720867395401,0.7439721822738647,-0.5330976247787476,-0.4738275408744812,-0.5329423546791077,-0.5343349575996399,0.0
2,-0.6389114260673523,-0.7303715944290161,-0.4353504478931427,0.7247431874275208,-0.4627957344055176,-0.6968335509300232,0.531221866607666,0.5120126008987427,-0.6554046273231506,-0.8436973094940186,0.579632043838501,-0.5526241660118103,0.5467911958694458,0.65958571434021,0.6616955995559692,0.541415274143219,-0.35492265224456787,-0.6939742565155029,0.03131376579403877,0.9022203683853149,-0.534529447555542,-0.49669209122657776,-0.5911642909049988,-0.5919630527496338,0.0
3,-0.6520808935165405,-0.7677382230758667,-0.4272649586200714,0.7713190317153931,-0.46227553486824036,-0.7400676012039185,0.5391944050788879,0.5295695662498474,-0.6853067874908447,-0.9099417328834534,0.5926865935325623,-0.5616049766540527,0.56605064868927,0.6793413162231445,0.6922018527984619,0.554482638835907,-0.3171801269054413,-0.7340200543403625,-0.005969562102109194,0.9867575764656067,-0.5203999280929565,-0.5004454851150513,-0.6131321787834167,-0.6113361716270447,0.0
4,-0.6572698950767517,-0.7876929640769958,-0.41314083337783813,0.8009197115898132,-0.4587118327617645,-0.7662895917892456,0.5413429141044617,0.5388253331184387,-0.7032943367958069,-0.950859785079956,0.5956240296363831,-0.5587294101715088,0.5755355954170227,0.6903300285339355,0.7030467391014099,0.5559777021408081,-0.2967452108860016,-0.7612582445144653,-0.02204267680644989,1.0418479442596436,-0.5051122903823853,-0.49674326181411743,-0.6190800666809082,-0.6139014959335327,0.0
5,-0.6591333150863647,-0.7846516966819763,-0.3942130506038666,0.8059675097465515,-0.45490413904190063,-0.7630546689033508,0.5368931293487549,0.5337446331977844,-0.7026641368865967,-0.9672929048538208,0.5846860408782959,-0.5359655618667603,0.5667658448219299,0.6918548345565796,0.6828007698059082,0.5404394268989563,-0.3141621947288513,-0.7679850459098816,-0.011954858899116516,1.054497480392456,-0.5032666921615601,-0.485806405544281,-0.5995306372642517,-0.5902575254440308,0.0
6,-0.6632625460624695,-0.7900301218032837,-0.3749135434627533,0.8215892910957336,-0.4494115114212036,-0.7712045907974243,0.5346676111221313,0.5339357256889343,-0.7094807624816895,-0.9921708703041077,0.5778538584709167,-0.520112931728363,0.5658062100410461,0.6960347890853882,0.6734596490859985,0.5306746363639832,-0.3170083165168762,-0.7836158871650696,-0.010710866190493107,1.0834342241287231,-0.49473321437835693,-0.47574928402900696,-0.5885664820671082,-0.5749238729476929,0.0
7,-0.6604043841362,-0.7943390011787415,-0.3522011339664459,0.8424496650695801,-0.44317376613616943,-0.7839135527610779,0.5332228541374207,0.535876989364624,-0.719373881816864,-1.0117672681808472,0.569231390953064,-0.5021199584007263,0.5641322731971741,0.7035381197929382,0.6670863032341003,0.5218954086303711,-0.3120534420013428,-0.8005969524383545,-0.009129740297794342,1.123212218284607,-0.48353153467178345,-0.46596720814704895,-0.5791031718254089,-0.5614522695541382,0.0
8,-0.6585790514945984,-0.7936744689941406,-0.32835865020751953,0.8569014668464661,-0.43602243065834045,-0.7898464798927307,0.5282725095748901,0.5334869623184204,-0.7231845259666443,-1.0268181562423706,0.5569674968719482,-0.47893038392066956,0.559779167175293,0.7061935663223267,0.6529231667518616,0.5079845786094666,-0.31793662905693054,-0.8149213194847107,-0.0021203788928687572,1.1508830785751343,-0.4731748700141907,-0.4524468779563904,-0.5637418031692505,-0.5403763651847839,0.0
9,-0.6608777046203613,-0.8000658750534058,-0.30194562673568726,0.8806369304656982,-0.42654725909233093,-0.8043950796127319,0.5250542759895325,0.5354078412055969,-0.7386780381202698,-1.0421106815338135,0.5465718507766724,-0.45872071385383606,0.5575496554374695,0.7098647356033325,0.646241307258606,0.4971435070037842,-0.31287848949432373,-0.8352733850479126,-0.0009255567565560341,1.1912810802459717,-0.4578510522842407,-0.437274694442749,-0.5541544556617737,-0.5248512029647827,0.0
