-dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
aug_mnist,20,1,0,3,1,0.549999999725,0.549999999725,278.52231216430664,4.6420385360717775
aug_mnist,20,1,0,3,2,0.549999999725,0.549999999725,325.444415807724,5.4240735967954
aug_mnist,20,1,0,3,3,0.549999999725,0.549999999725,345.8853735923767,5.764756226539612
aug_mnist,20,1,0,4,1,0.549999999725,0.549999999725,418.2865104675293,6.971441841125488
aug_mnist,20,1,0,4,2,0.549999999725,0.549999999725,431.0452330112457,7.1840872168540955
aug_mnist,40,1,0,3,2,0.499999999875,0.499999999875,433.8506591320038,7.23084431886673
aug_mnist,20,1,0,4,3,0.549999999725,0.549999999725,477.45083022117615,7.957513837019603
aug_mnist,40,1,0,3,3,0.8499999997875,0.77499999980625,592.2106845378876,9.87017807563146
aug_mnist,40,1,0,3,1,0.499999999875,0.499999999875,640.0042932033539,10.666738220055898
aug_mnist,40,1,0,4,2,0.499999999875,0.499999999875,679.6814303398132,11.328023838996888
aug_mnist,40,1,0,4,3,0.499999999875,0.499999999875,703.730147600174,11.728835793336232
aug_mnist,40,1,0,4,1,0.499999999875,0.499999999875,830.6700739860535,13.84450123310089
aug_mnist,80,1,0,3,2,0.9124999998859376,0.7374999999078126,941.3380420207977,15.688967367013296
aug_mnist,80,1,0,3,1,0.7499999999062501,0.6624999999171876,1217.7723138332367,20.296205230553944
aug_mnist,80,1,0,3,3,0.8999999998875001,0.7624999999046875,1317.7600429058075,21.96266738176346
aug_mnist,80,1,0,4,2,0.54999999993125,0.54999999993125,1409.3758115768433,23.489596859614053
aug_mnist,80,1,0,4,1,0.49999999993750005,0.49999999993750005,1578.0985689163208,26.301642815272015
aug_mnist,80,1,0,4,3,0.54999999993125,0.54999999993125,1781.2043361663818,29.686738936106362
aug_mnist,160,1,0,3,3,0.9124999999429687,0.768749999951953,1873.6478700637817,31.22746450106303
aug_mnist,20,2,0,3,1,0.549999999725,0.549999999725,210.5685248374939,3.509475413958232
aug_mnist,20,2,0,3,2,0.549999999725,0.549999999725,201.99700379371643,3.366616729895274
aug_mnist,160,1,0,3,1,0.6624999999585938,0.6187499999613281,2373.242725610733,39.55404542684555
aug_mnist,160,1,0,3,2,0.7562499999527343,0.6312499999605469,2448.3945727348328,40.806576212247215
aug_mnist,20,2,0,3,3,0.649999999675,0.5999999997,211.31059622764587,3.5218432704607645
aug_mnist,160,1,0,4,2,0.5062499999683594,0.5062499999683594,2659.388749599457,44.323145826657615
aug_mnist,160,1,0,4,1,0.5124999999679687,0.5124999999679687,2747.359927177429,45.78933211962382
aug_mnist,20,2,0,4,1,0.549999999725,0.549999999725,398.205943107605,6.636765718460083
aug_mnist,20,2,0,4,2,0.549999999725,0.549999999725,369.8193910121918,6.163656516869863
aug_mnist,20,2,0,4,3,0.549999999725,0.549999999725,362.72435426712036,6.045405904452006
aug_mnist,160,1,0,4,3,0.5562499999652344,0.5562499999652344,3093.5241634845734,51.55873605807622
aug_mnist,40,2,0,3,1,0.499999999875,0.499999999875,493.7141056060791,8.228568426767985
aug_mnist,40,2,0,3,3,0.5749999998562499,0.499999999875,538.2458148002625,8.970763580004375
aug_mnist,40,2,0,4,2,0.499999999875,0.499999999875,566.9388861656189,9.448981436093648
aug_mnist,40,2,0,3,2,0.499999999875,0.499999999875,725.3109531402588,12.08851588567098
aug_mnist,40,2,0,4,1,0.499999999875,0.499999999875,798.4250454902649,13.307084091504414
aug_mnist,320,1,0,3,1,0.918749999971289,0.8218749999743163,3624.372316122055,60.406205268700916
aug_mnist,40,2,0,4,3,0.499999999875,0.499999999875,703.5155627727509,11.725259379545848
aug_mnist,320,1,0,3,3,0.9562499999701172,0.8062499999748046,3799.400863647461,63.32334772745768
aug_mnist,320,1,0,3,2,0.9624999999699219,0.7687499999759766,3818.8586378097534,63.64764396349589
aug_mnist,80,2,0,3,1,0.8124999998984376,0.6874999999140625,924.9401612281799,15.415669353802999
aug_mnist,80,2,0,3,2,0.9249999998843751,0.7374999999078126,980.7409930229187,16.345683217048645
aug_mnist,80,2,0,3,3,0.9124999998859376,0.7749999999031251,905.2815227508545,15.088025379180909
aug_mnist,320,1,0,4,1,0.5937499999814453,0.5937499999814453,4620.557785749435,77.00929642915726
aug_mnist,80,2,0,4,1,0.5124999999359375,0.5124999999359375,1648.2246270179749,27.470410450299582
aug_mnist,80,2,0,4,2,0.5999999999250001,0.5999999999250001,1546.3913068771362,25.773188447952272
aug_mnist,80,2,0,4,3,0.5249999999343751,0.5249999999343751,1748.404078245163,29.140067970752717
aug_mnist,160,2,0,3,2,0.7437499999535155,0.6249999999609375,1679.5130579471588,27.991884299119313
aug_mnist,160,2,0,3,1,0.6624999999585938,0.6062499999621094,1800.1101605892181,30.001836009820302
aug_mnist,160,2,0,3,3,0.9124999999429687,0.7624999999523437,1796.9238152503967,29.948730254173277
aug_mnist,160,2,0,4,1,0.5124999999679687,0.5124999999679687,2324.6463742256165,38.74410623709361
aug_mnist,320,1,0,4,3,0.7218749999774414,0.7218749999774414,6443.497115373611,107.3916185895602
aug_mnist,640,1,0,3,1,0.9593749999850097,0.781249999987793,6479.5159685611725,107.99193280935287
aug_mnist,640,1,0,3,2,0.9562499999850586,0.7468749999883301,6775.037723779678,112.91729539632797
aug_mnist,160,2,0,4,3,0.549999999965625,0.549999999965625,2723.9471106529236,45.39911851088206
aug_mnist,320,1,0,4,2,0.8156249999745117,0.8156249999745117,7153.357736825943,119.22262894709905
aug_mnist,640,1,0,3,3,0.9562499999850586,0.781249999987793,7418.57227730751,123.64287128845851
aug_mnist,160,2,0,4,2,0.49999999996875,0.49999999996875,3213.955933570862,53.56593222618103
aug_mnist,320,2,0,3,1,0.9468749999704101,0.828124999974121,3301.8049943447113,55.03008323907852
aug_mnist,320,2,0,3,2,0.9343749999708008,0.8156249999745117,3508.090533733368,58.4681755622228
aug_mnist,640,1,0,4,1,0.6281249999901856,0.6281249999901856,9139.775744438171,152.3295957406362
aug_mnist,320,2,0,3,3,0.9562499999701172,0.8343749999739257,4064.4156696796417,67.74026116132737
aug_mnist,320,2,0,4,1,0.5937499999814453,0.5937499999814453,4874.004099369049,81.23340165615082
aug_mnist,320,2,0,4,3,0.8687499999728515,0.8687499999728515,4890.643682718277,81.51072804530462
aug_mnist,640,1,0,4,2,0.9015624999859131,0.9015624999859131,10941.376010417938,182.35626684029896
aug_mnist,320,2,0,4,2,0.8124999999746093,0.8124999999746093,6163.515684127808,102.72526140213013
aug_mnist,640,1,0,4,3,0.8968749999859863,0.8968749999859863,12043.283924102783,200.7213987350464
aug_mnist,640,2,0,3,1,0.9578124999850341,0.781249999987793,6521.79918885231,108.6966531475385
aug_mnist,640,2,0,3,2,0.9031249999858887,0.7859374999877197,6925.411177158356,115.42351961930594
aug_mnist,1280,1,0,3,1,0.9085937499929017,0.6960937499945619,15351.899200439453,255.8649866739909
aug_mnist,640,2,0,3,3,0.9593749999850097,0.7890624999876709,9459.887881994247,157.66479803323745
aug_mnist,640,2,0,4,1,0.6312499999901368,0.6312499999901368,9322.355547189713,155.37259245316187
aug_mnist,1280,1,0,3,2,0.9406249999926515,0.7242187499943421,16261.572556972504,271.0262092828751
aug_mnist,640,2,0,4,3,0.9140624999857178,0.9140624999857178,10333.883588790894,172.2313931465149
aug_mnist,20,3,0,3,1,0.549999999725,0.549999999725,263.7545552253723,4.395909253756205
aug_mnist,20,3,0,3,2,0.649999999675,0.5999999997,245.75850582122803,4.095975097020467
aug_mnist,20,3,0,3,3,0.749999999625,0.6999999996499999,248.6736183166504,4.144560305277507
aug_mnist,1280,1,0,3,3,0.9671874999924439,0.7867187499938538,17873.966572761536,297.8994428793589
aug_mnist,640,2,0,4,2,0.8984374999859619,0.8984374999859619,11519.645910024643,191.99409850041073
aug_mnist,20,3,0,4,1,0.549999999725,0.549999999725,302.3952956199646,5.039921593666077
aug_mnist,20,3,0,4,2,0.549999999725,0.549999999725,438.48582220077515,7.308097036679586
aug_mnist,40,3,0,3,1,0.499999999875,0.499999999875,484.0640118122101,8.067733530203501
aug_mnist,20,3,0,4,3,0.549999999725,0.549999999725,600.8368511199951,10.013947518666585
aug_mnist,40,3,0,3,3,0.7999999998,0.7499999998125,494.79677534103394,8.246612922350566
aug_mnist,40,3,0,3,2,0.499999999875,0.499999999875,640.0732400417328,10.66788733402888
aug_mnist,40,3,0,4,1,0.499999999875,0.499999999875,923.7881073951721,15.396468456586202
aug_mnist,40,3,0,4,2,0.499999999875,0.499999999875,653.5015079975128,10.891691799958547
aug_mnist,40,3,0,4,3,0.499999999875,0.499999999875,914.9655549526215,15.249425915877024
aug_mnist,80,3,0,3,1,0.7999999999,0.6874999999140625,1073.6319327354431,17.893865545590717
aug_mnist,80,3,0,3,2,0.9249999998843751,0.724999999909375,980.5504744052887,16.34250790675481
aug_mnist,1280,1,0,4,2,0.8718749999931885,0.8718749999931885,20793.451901435852,346.55753169059756
aug_mnist,1280,1,0,4,1,0.6664062499947938,0.6664062499947938,20953.661645412445,349.2276940902074
aug_mnist,80,3,0,3,3,0.9124999998859376,0.7749999999031251,1306.7527318000793,21.779212196667988
aug_mnist,1280,2,0,3,1,0.9546874999925415,0.7734374999939576,14746.807801961899,245.7801300326983
aug_mnist,1280,2,0,3,2,0.9421874999926393,0.7296874999942994,14569.18396782875,242.81973279714583
aug_mnist,80,3,0,4,2,0.5999999999250001,0.5999999999250001,1292.6998167037964,21.54499694506327
aug_mnist,80,3,0,4,1,0.49999999993750005,0.49999999993750005,1536.146294593811,25.602438243230186
aug_mnist,80,3,0,4,3,0.54999999993125,0.54999999993125,1947.0965859889984,32.45160976648331
aug_mnist,160,3,0,3,2,0.7374999999539062,0.6249999999609375,2064.5556604862213,34.40926100810369
aug_mnist,160,3,0,3,3,0.8999999999437499,0.7562499999527343,1878.4787843227386,31.307979738712312
aug_mnist,160,3,0,3,1,0.6687499999582031,0.6124999999617187,2598.581903219223,43.30969838698705
aug_mnist,1280,1,0,4,3,0.9203124999928102,0.9203124999928102,24366.048305273056,406.1008050878843
aug_mnist,160,3,0,4,2,0.5187499999675781,0.5187499999675781,2352.609405517578,39.210156758626304
aug_mnist,160,3,0,4,1,0.5124999999679687,0.5124999999679687,3029.503715276718,50.4917285879453
aug_mnist,160,3,0,4,3,0.5562499999652344,0.5562499999652344,3352.0688831806183,55.86781471967697
aug_mnist,1280,2,0,3,3,0.9624999999924806,0.78593749999386,19032.852851867676,317.2142141977946
aug_mnist,2560,1,0,3,1,0.9578313252963965,0.7931726907590705,26527.545475959778,442.12575793266296
aug_mnist,1280,2,0,4,1,0.6710937499947571,0.6710937499947571,19157.770531892776,319.2961755315463
aug_mnist,320,3,0,3,3,0.9718749999696289,0.8343749999739257,3567.721795320511,59.46202992200851
aug_mnist,320,3,0,3,1,0.9343749999708008,0.828124999974121,4098.000677347183,68.30001128911972
aug_mnist,320,3,0,3,2,0.9437499999705078,0.7281249999772461,3922.7208182811737,65.37868030468623
aug_mnist,320,3,0,4,2,0.818749999974414,0.818749999974414,4504.1285173892975,75.06880862315496
aug_mnist,320,3,0,4,3,0.6593749999793945,0.6593749999793945,5249.477329492569,87.49128882487615
aug_mnist,1280,2,0,4,2,0.875781249993158,0.875781249993158,22286.551836013794,371.4425306002299
aug_mnist,320,3,0,4,1,0.59999999998125,0.59999999998125,7480.979965209961,124.68299942016601
aug_mnist,1280,2,0,4,3,0.9312499999927247,0.9312499999927247,22720.64603114128,378.6774338523547
aug_mnist,640,3,0,3,1,0.9578124999850341,0.7828124999877686,7363.453415393829,122.72422358989715
aug_mnist,640,3,0,3,2,0.9078124999858154,0.7921874999876221,6924.677670717239,115.41129451195398
aug_mnist,2560,1,0,3,2,0.9513052208787586,0.750502008028361,33887.51453757286,564.7919089595476
aug_mnist,640,3,0,4,1,0.6343749999900878,0.6343749999900878,8511.333315372467,141.8555552562078
aug_mnist,640,3,0,3,3,0.9749999999847656,0.7937499999875977,9320.672552347183,155.34454253911971
aug_mnist,2560,2,0,3,2,0.9492971887502546,0.752510040156865,26807.292562007904,446.7882093667984
aug_mnist,640,3,0,4,3,0.7593749999881347,0.7593749999881347,10342.347112894058,172.37245188156763
aug_mnist,640,3,0,4,2,0.8968749999859863,0.8968749999859863,10926.873590707779,182.11455984512966
aug_mnist,2560,2,0,3,3,0.9513052208787586,0.7841365461808025,27812.269862890244,463.53783104817074
aug_mnist,1280,3,0,3,1,0.951562499992566,0.7718749999939698,12314.135311126709,205.23558851877848
aug_mnist,2560,1,0,3,3,0.9563253012000185,0.7871485943735586,42006.16314792633,700.1027191321056
aug_mnist,2560,1,0,4,1,0.5988955823263108,0.5988955823263108,42512.70218038559,708.5450363397598
aug_mnist,20,4,0,3,1,0.549999999725,0.549999999725,196.36086559295654,3.2726810932159425
aug_mnist,1280,3,0,3,3,0.9820312499923279,0.7992187499937562,13864.801776885986,231.08002961476643
aug_mnist,20,4,0,3,2,0.649999999675,0.5999999997,199.4312686920166,3.3238544782002766
aug_mnist,20,4,0,3,3,0.7999999996,0.6999999996499999,192.88675022125244,3.2147791703542072
aug_mnist,20,4,0,4,1,0.549999999725,0.549999999725,288.4467706680298,4.807446177800497
aug_mnist,20,4,0,4,2,0.549999999725,0.549999999725,272.4182827472687,4.5403047124544775
aug_mnist,2560,1,0,4,2,0.8519076305178117,0.8519076305178117,42762.40868997574,712.7068114995957
aug_mnist,20,4,0,4,3,0.549999999725,0.549999999725,344.46115493774414,5.741019248962402
