epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,phi
0,-0.3771419823169708,0.12718337774276733,-0.40642011165618896,0.3521997332572937,-0.5841985940933228,-0.42436474561691284,0.09142418205738068,0.2684302031993866,-0.2567720413208008,0.12091126292943954,0.5075290203094482,-0.12147480249404907,0.4898469150066376,0.190907284617424,0.30486437678337097,-0.014193527400493622,0.0
1,-0.7735800743103027,0.49160104990005493,-0.8716033101081848,0.8090547919273376,-1.1901824474334717,-0.9575138092041016,-0.35438475012779236,0.42532244324684143,-0.6901138424873352,0.1729930192232132,1.1045970916748047,-0.12126094102859497,0.9576027989387512,0.2446291148662567,0.7766040563583374,-0.3357139229774475,0.0
2,-0.9304367899894714,0.8172183632850647,-1.1288193464279175,1.090625286102295,-1.4235649108886719,-1.3023556470870972,-0.7565613389015198,0.4486307203769684,-0.9014822244644165,0.10724194347858429,1.3975826501846313,-0.029873838648200035,0.9996939897537231,-0.07257046550512314,1.0804508924484253,-0.6967617273330688,0.0
3,-1.0197402238845825,0.9661006927490234,-1.2977136373519897,1.2625706195831299,-1.4405078887939453,-1.5164377689361572,-0.9965742230415344,0.24137380719184875,-0.9422339200973511,-0.0047423564828932285,1.481429100036621,-0.07379168272018433,0.9244523048400879,-0.3017953336238861,1.1010161638259888,-1.0165354013442993,0.0
4,-1.1068429946899414,1.0236151218414307,-1.4383649826049805,1.2914549112319946,-1.5010454654693604,-1.6003504991531372,-1.0637338161468506,0.17797687649726868,-0.9052443504333496,-0.11105288565158844,1.4425314664840698,-0.19685257971286774,0.9667108654975891,-0.41449567675590515,1.0053523778915405,-1.0854034423828125,0.0
5,-1.2216274738311768,1.1807321310043335,-1.5041087865829468,1.4486299753189087,-1.4635378122329712,-1.6784700155258179,-1.0686497688293457,0.03249453753232956,-0.8406276702880859,-0.2168034166097641,1.3909112215042114,-0.250239759683609,0.9011651873588562,-0.4847630262374878,0.8027237057685852,-1.2185850143432617,0.0
6,-1.3670611381530762,1.3492158651351929,-1.5800387859344482,1.4879322052001953,-1.5395563840866089,-1.728785514831543,-0.9956912994384766,-0.05392129719257355,-0.8554184436798096,-0.28686758875846863,1.3283902406692505,-0.3692131042480469,0.9101519584655762,-0.5220965147018433,0.6717977523803711,-1.287992000579834,0.0
7,-1.475421667098999,1.4775259494781494,-1.5646218061447144,1.554309368133545,-1.376564621925354,-1.6403071880340576,-0.8359119892120361,-0.14390386641025543,-0.8687207102775574,-0.3406595289707184,1.2687366008758545,-0.49582332372665405,0.7852584719657898,-0.5052152276039124,0.5632803440093994,-1.3121306896209717,0.0
8,-1.5303629636764526,1.525351643562317,-1.579964518547058,1.5185625553131104,-1.5543466806411743,-1.7093157768249512,-0.7934190034866333,-0.14156369864940643,-0.8209546804428101,-0.3794296085834503,1.4150623083114624,-0.6651453375816345,0.7211444973945618,-0.575844943523407,0.5150138735771179,-1.2792483568191528,0.0
9,-1.555193305015564,1.5542478561401367,-1.5721193552017212,1.5489839315414429,-1.4845844507217407,-1.6623245477676392,-0.8002445101737976,-0.2323746681213379,-0.8383513689041138,-0.40737318992614746,1.4459125995635986,-0.7722548842430115,0.6897867918014526,-0.6214731931686401,0.47036290168762207,-1.3279783725738525,0.0
