epoch,train_loss,val_loss,train_acc,val_acc
0,0.7078287280200939,0.705877838678873,0.4,0.35
1,0.7057881039097176,0.7048336859886597,0.45,0.35
2,0.7038080642878649,0.7035493081496469,0.45,0.35
3,0.7024453374079105,0.7027575099816586,0.5,0.35
4,0.7007492252804572,0.7019940915481631,0.55,0.35
5,0.6989989826607343,0.7007419229202705,0.55,0.4
6,0.697635869133001,0.6996718135126581,0.55,0.4
7,0.6962053416379689,0.6985181977059023,0.55,0.4
8,0.6943125621727273,0.6972629806182689,0.55,0.45
9,0.6922182243463162,0.6949470303065002,0.6,0.55
10,0.689147668282468,0.6926933500590445,0.65,0.65
11,0.684813950252604,0.6898267567511228,0.7,0.7
12,0.6795419945877339,0.6868966499399386,0.8,0.65
13,0.6739339374559976,0.6836013659205255,0.8,0.65
14,0.6671903284324101,0.6807355083932587,0.8,0.65
15,0.6615213333293107,0.6785686312409691,0.85,0.65
16,0.6553439063106412,0.6767494454165383,0.8,0.65
17,0.6500318448889689,0.6755887127003634,0.8,0.65
18,0.6460367659762759,0.6749119046247971,0.85,0.65
19,0.6429337037887685,0.674356204935888,0.85,0.6
20,0.6402453056362313,0.6738551738448502,0.85,0.6
21,0.6391868808628017,0.6728344927740495,0.85,0.6
22,0.6373575202507045,0.6724658970798238,0.85,0.6
23,0.6356383064875699,0.6725482478890497,0.85,0.6
24,0.634297325909799,0.6716873316560923,0.85,0.6
25,0.6331957732723208,0.671296110332517,0.85,0.6
26,0.6330755129786159,0.6704481107578129,0.85,0.6
27,0.6317525968003992,0.6698229761538081,0.85,0.6
28,0.6311289979117418,0.6691045861803909,0.85,0.65
29,0.6304121597813256,0.6687637071236445,0.85,0.65
30,0.6303705940877856,0.6671462454262278,0.85,0.65
31,0.6295831152362471,0.6667897812844945,0.85,0.65
32,0.6294632375804629,0.6653994606490568,0.85,0.7
33,0.6289172505866555,0.6650672434606858,0.85,0.7
34,0.6284779960371178,0.6639693023774591,0.85,0.7
35,0.628135415062922,0.6632246860077372,0.85,0.7
36,0.6276947768419366,0.6621180686536835,0.85,0.7
37,0.6271014245104488,0.6619979994530533,0.85,0.7
38,0.6275794512348094,0.6604588243080123,0.85,0.8
39,0.6271054874237714,0.6608262958321798,0.85,0.75
