epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,phi
0,0.1871180683374405,-0.19434724748134613,-0.15785332024097443,0.20784878730773926,0.23242267966270447,0.23478877544403076,-0.20138564705848694,0.2389860451221466,0.0
1,0.34091809391975403,-0.3438437581062317,-0.32442235946655273,0.3494182825088501,0.3624315857887268,0.36397796869277954,-0.3463893532752991,0.36771202087402344,0.0
2,0.4717835485935211,-0.4693250060081482,-0.4734035134315491,0.4655251204967499,0.4647650718688965,0.4652654528617859,-0.46685078740119934,0.4694809019565582,0.0
3,0.5831823348999023,-0.5748163461685181,-0.6033023595809937,0.562207818031311,0.5483303666114807,0.5476584434509277,-0.5685973167419434,0.5537334084510803,0.0
4,0.6800575852394104,-0.6653625965118408,-0.7173210382461548,0.6452915668487549,0.620026707649231,0.6180487871170044,-0.657477617263794,0.6272714734077454,0.0
5,0.7630090713500977,-0.7416039705276489,-0.8154666423797607,0.7158795595169067,0.6815128326416016,0.6781217455863953,-0.7345283031463623,0.6914790272712708,0.0
6,0.8346962332725525,-0.8060372471809387,-0.9001766443252563,0.7761906981468201,0.7348489165306091,0.7298954129219055,-0.801840603351593,0.748254120349884,0.0
7,0.8967550992965698,-0.8604558706283569,-0.9733243584632874,0.827838122844696,0.7814810276031494,0.7748057246208191,-0.8607909679412842,0.7987029552459717,0.0
8,0.9517444968223572,-0.9072672724723816,-1.0378636121749878,0.8730210065841675,0.8232657313346863,0.8146857619285583,-0.9135981202125549,0.8446611166000366,0.0
9,1.0021508932113647,-0.9487497806549072,-1.0966203212738037,0.913825511932373,0.8619385957717896,0.8512774705886841,-0.9624410271644592,0.8879441022872925,0.0
10,1.0479376316070557,-0.9851328134536743,-1.149919867515564,0.9504253268241882,0.897686779499054,0.8846946954727173,-1.0072746276855469,0.9285014867782593,0.0
11,1.0898513793945312,-1.0170801877975464,-1.1982418298721313,0.9832409620285034,0.9306729435920715,0.9151466488838196,-1.048392415046692,0.9664201736450195,0.0
12,1.1270045042037964,-1.0440739393234253,-1.2403790950775146,1.011476755142212,0.9598937630653381,0.9416963458061218,-1.084553599357605,1.0004504919052124,0.0
13,1.1599764823913574,-1.0668543577194214,-1.2773678302764893,1.0358977317810059,0.9860811829566956,0.9651026725769043,-1.1164989471435547,1.0311273336410522,0.0
14,1.1900702714920044,-1.086572527885437,-1.3108150959014893,1.0576515197753906,1.010275959968567,0.9863463640213013,-1.1454988718032837,1.0595237016677856,0.0
15,1.219946026802063,-1.1050225496292114,-1.3436752557754517,1.0785669088363647,1.0342319011688232,1.0070323944091797,-1.174072504043579,1.0881543159484863,0.0
16,1.2491726875305176,-1.1220076084136963,-1.375661015510559,1.0984883308410645,1.057860255241394,1.0271365642547607,-1.2019158601760864,1.1166610717773438,0.0
17,1.2749483585357666,-1.1358611583709717,-1.4033682346343994,1.1153547763824463,1.0787280797958374,1.0445189476013184,-1.226004958152771,1.1418052911758423,0.0
18,1.299143671989441,-1.1478508710861206,-1.429075837135315,1.130573034286499,1.0983555316925049,1.0605143308639526,-1.2482584714889526,1.1655434370040894,0.0
19,1.3225640058517456,-1.1585183143615723,-1.4536746740341187,1.1446599960327148,1.1172853708267212,1.0755622386932373,-1.269372582435608,1.1886416673660278,0.0
20,1.3452070951461792,-1.1678993701934814,-1.4771894216537476,1.1577767133712769,1.1356992721557617,1.0899544954299927,-1.2894505262374878,1.210952877998352,0.0
21,1.363510251045227,-1.1746388673782349,-1.495457649230957,1.1678128242492676,1.1505216360092163,1.1011600494384766,-1.3049142360687256,1.2281913757324219,0.0
22,1.381334662437439,-1.1806492805480957,-1.5129178762435913,1.1771190166473389,1.164702296257019,1.1115870475769043,-1.319545030593872,1.244764804840088,0.0
23,1.3980541229248047,-1.1856127977371216,-1.5290638208389282,1.185453176498413,1.1780567169189453,1.1211801767349243,-1.3329222202301025,1.260140299797058,0.0
24,1.4165045022964478,-1.1904712915420532,-1.5470139980316162,1.19417142868042,1.192624568939209,1.1314537525177002,-1.3475923538208008,1.2776192426681519,0.0
25,1.4342432022094727,-1.1945585012435913,-1.5640144348144531,1.2021149396896362,1.2064754962921143,1.1409703493118286,-1.3613072633743286,1.2941690683364868,0.0
26,1.4497098922729492,-1.1973400115966797,-1.5783929824829102,1.2086890935897827,1.2186506986618042,1.149154782295227,-1.3727742433547974,1.3079417943954468,0.0
27,1.4653105735778809,-1.199648141860962,-1.5926457643508911,1.2148853540420532,1.2307755947113037,1.1570265293121338,-1.3839246034622192,1.3215882778167725,0.0
28,1.4826513528823853,-1.2017806768417358,-1.60850989818573,1.2213300466537476,1.2439645528793335,1.1653285026550293,-1.3961195945739746,1.3370544910430908,0.0
29,1.499566912651062,-1.203141212463379,-1.6237986087799072,1.227157473564148,1.2567970752716064,1.1731702089309692,-1.407626748085022,1.3518848419189453,0.0
30,1.5147920846939087,-1.2038464546203613,-1.637321949005127,1.2321066856384277,1.2683461904525757,1.1799757480621338,-1.417615294456482,1.3647807836532593,0.0
31,1.5270496606826782,-1.204042673110962,-1.647537112236023,1.235921025276184,1.2775808572769165,1.185195803642273,-1.4250743389129639,1.373878002166748,0.0
32,1.5385158061981201,-1.2037935256958008,-1.656777024269104,1.2392321825027466,1.2861851453781128,1.1899137496948242,-1.4316905736923218,1.3818602561950684,0.0
33,1.5535082817077637,-1.2029744386672974,-1.669575810432434,1.2431007623672485,1.2973166704177856,1.1959493160247803,-1.440627932548523,1.3937700986862183,0.0
34,1.570959448814392,-1.2016243934631348,-1.684882640838623,1.247148871421814,1.3100463151931763,1.202628254890442,-1.451076626777649,1.4084724187850952,0.0
35,1.5844141244888306,-1.200365424156189,-1.6959266662597656,1.2501250505447388,1.3197476863861084,1.207393765449524,-1.4584884643554688,1.4183251857757568,0.0
36,1.5955562591552734,-1.199029803276062,-1.7044014930725098,1.2524174451828003,1.327696442604065,1.2110514640808105,-1.4640592336654663,1.4251925945281982,0.0
37,1.6083375215530396,-1.197181224822998,-1.7143042087554932,1.2548167705535889,1.3367489576339722,1.215165376663208,-1.4704618453979492,1.4335709810256958,0.0
38,1.6176903247833252,-1.1957744359970093,-1.7206907272338867,1.2566734552383423,1.3433475494384766,1.2179425954818726,-1.4745925664901733,1.4379348754882812,0.0
39,1.6262681484222412,-1.1944799423217773,-1.7263158559799194,1.2583295106887817,1.3493435382843018,1.2202380895614624,-1.4781932830810547,1.441335678100586,0.0
40,1.6362231969833374,-1.1926376819610596,-1.7330818176269531,1.260047435760498,1.3562660217285156,1.2229260206222534,-1.4824540615081787,1.4458333253860474,0.0
41,1.6453871726989746,-1.1909289360046387,-1.7388935089111328,1.2616432905197144,1.3626309633255005,1.2252514362335205,-1.4861000776290894,1.4491759538650513,0.0
42,1.6521886587142944,-1.1897586584091187,-1.742436408996582,1.2630101442337036,1.367385745048523,1.2268308401107788,-1.4883681535720825,1.4500436782836914,0.0
43,1.6604669094085693,-1.1879791021347046,-1.7473677396774292,1.2643429040908813,1.3730905055999756,1.2287964820861816,-1.4914180040359497,1.4524215459823608,0.0
44,1.6708803176879883,-1.185369849205017,-1.7543797492980957,1.2656352519989014,1.3802129030227661,1.231312870979309,-1.4956297874450684,1.4569851160049438,0.0
45,1.6823785305023193,-1.18216872215271,-1.7624022960662842,1.266776442527771,1.3880066871643066,1.23399817943573,-1.500350832939148,1.4624723196029663,0.0
46,1.6978577375411987,-1.1773563623428345,-1.7741142511367798,1.2678043842315674,1.3983486890792847,1.237572431564331,-1.5070863962173462,1.471838355064392,0.0
47,1.7112900018692017,-1.1729532480239868,-1.7835886478424072,1.2686434984207153,1.4072461128234863,1.2403671741485596,-1.5124471187591553,1.478658676147461,0.0
48,1.7227457761764526,-1.1690573692321777,-1.791007161140442,1.2694921493530273,1.4148316383361816,1.2427239418029785,-1.516657829284668,1.4832499027252197,0.0
49,1.7290446758270264,-1.1673610210418701,-1.7933669090270996,1.2705508470535278,1.4191246032714844,1.2437000274658203,-1.518122673034668,1.482183814048767,0.0
50,1.738633394241333,-1.1642723083496094,-1.7988322973251343,1.2712364196777344,1.4254437685012817,1.2451459169387817,-1.5211663246154785,1.484336256980896,0.0
51,1.7475072145462036,-1.161253809928894,-1.8032863140106201,1.2720556259155273,1.4312660694122314,1.2466131448745728,-1.5237048864364624,1.4853531122207642,0.0
52,1.7525612115859985,-1.1599453687667847,-1.8042455911636353,1.273151159286499,1.4347460269927979,1.2472432851791382,-1.5244052410125732,1.4825915098190308,0.0
53,1.7607202529907227,-1.157118320465088,-1.8084443807601929,1.2737400531768799,1.4401415586471558,1.2483227252960205,-1.5266975164413452,1.483225703239441,0.0
54,1.774231195449829,-1.1514320373535156,-1.8174335956573486,1.2736855745315552,1.4487248659133911,1.2503758668899536,-1.531432867050171,1.4887864589691162,0.0
55,1.7870702743530273,-1.146155834197998,-1.8258236646652222,1.2737457752227783,1.4569833278656006,1.252170205116272,-1.5359022617340088,1.4936307668685913,0.0
56,1.7921171188354492,-1.1448042392730713,-1.8268224000930786,1.2747881412506104,1.4605520963668823,1.2525599002838135,-1.5366647243499756,1.490600347518921,0.0
57,1.8006069660186768,-1.141523838043213,-1.8306684494018555,1.2752729654312134,1.4660823345184326,1.2534302473068237,-1.5387294292449951,1.4904000759124756,0.0
58,1.8062149286270142,-1.1396174430847168,-1.8316702842712402,1.2763123512268066,1.4699255228042603,1.2539916038513184,-1.5393503904342651,1.4869762659072876,0.0
59,1.8091758489608765,-1.1391749382019043,-1.8298954963684082,1.277924656867981,1.4721813201904297,1.2541844844818115,-1.5386656522750854,1.480547308921814,0.0
