dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
nwpu,20,1,0,3,1,0.49999999975,0.5999999997,222.18233156204224,3.7030388593673704,29
nwpu,20,1,0,3,2,0.49999999975,0.49999999975,228.6342248916626,3.810570414861043,16
nwpu,20,1,0,3,3,0.49999999975,0.49999999975,238.96053075790405,3.9826755126317344,16
nwpu,20,1,0,4,1,0.649999999675,0.649999999675,293.57946252822876,4.892991042137146,16
nwpu,20,1,0,4,2,0.549999999725,0.549999999725,306.71632385253906,5.111938730875651,16
nwpu,20,1,0,4,3,0.49999999975,0.49999999975,333.78296995162964,5.563049499193827,16
nwpu,40,1,0,3,1,0.5749999998562499,0.5749999998562499,431.8423674106598,7.197372790177663,31
nwpu,40,1,0,3,3,0.5499999998625,0.5749999998562499,440.55168414115906,7.342528069019318,17
nwpu,40,1,0,3,2,0.52499999986875,0.52499999986875,442.00714111328125,7.3667856852213545,7
nwpu,40,1,0,4,1,0.5749999998562499,0.5749999998562499,554.4442753791809,9.240737922986348,24
nwpu,40,1,0,4,2,0.6499999998375,0.6499999998375,580.5251276493073,9.67541879415512,7
nwpu,40,1,0,4,3,0.5499999998625,0.5499999998625,588.2193007469177,9.803655012448628,31
nwpu,80,1,0,3,1,0.5249999999343751,0.54999999993125,674.7812919616699,11.246354866027833,18
nwpu,80,1,0,3,2,0.5999999999250001,0.574999999928125,781.4119262695312,13.023532104492187,11
nwpu,80,1,0,3,3,0.64999999991875,0.6624999999171876,824.8528723716736,13.747547872861226,18
nwpu,80,1,0,4,1,0.5249999999343751,0.5249999999343751,1000.1947638988495,16.669912731647493,18
nwpu,80,1,0,4,2,0.64999999991875,0.64999999991875,1167.5779993534088,19.459633322556815,11
nwpu,80,1,0,4,3,0.7624999999046875,0.7624999999046875,1240.7562577724457,20.679270962874096,11
nwpu,160,1,0,3,2,0.5687499999644531,0.649999999959375,1538.6173148155212,25.64362191359202,11
