epoch,train_loss
0,2.0690620136088564
1,1.4718442265070015
2,1.126429593553693
3,0.954258005611097
4,0.8552650292643166
5,0.796146154397052
6,0.7597200059827438
7,0.7367022283810577
8,0.7213326009054473
9,0.710908003642198
10,0.7038304893117109
11,0.6995726545593457
12,0.6970080987554323
13,0.6953544568957557
14,0.6941941285075512
15,0.6931667939764116
16,0.6925792606613936
17,0.6921650497060953
18,0.6919118189754048
19,0.6917661515814038
20,0.6917184813759699
21,0.6915005914312594
22,0.6914255420309304
23,0.6913912479025128
24,0.6914842216116185
25,0.6914762600205338
26,0.6912451513550694
27,0.6912330865802383
28,0.6911702767950317
29,0.6911274758917118
30,0.6912137405020016
31,0.6910570915482472
32,0.6910582295995981
33,0.6910429914734793
34,0.6910082006396885
35,0.6909641694965003
36,0.6908938089948936
37,0.6908700346889144
38,0.6907364241224584
39,0.6906207299174931
40,0.6906926886183085
41,0.6906672525348329
42,0.6906201974493332
43,0.6905197811069166
44,0.6904725416443824
45,0.6904294570229533
46,0.6903420154196114
47,0.6905216511033053
48,0.6901233911456772
49,0.6902443504275977
50,0.6901096145254483
51,0.6901117825450609
52,0.6900429916324333
53,0.6900240755023676
54,0.6898900945923854
55,0.6898101242325838
56,0.6898365426006052
57,0.6897189434311929
58,0.6896152480385851
59,0.6896395333550522
