dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
nwpu,20.0,1.0,0.0,3.0,1.0,0.49999999975,0.5999999997,222.18233156204224,3.7030388593673695,29.0,0.6865785845661497
nwpu,20.0,1.0,0.0,3.0,2.0,0.49999999975,0.49999999975,228.6342248916626,3.810570414861043,16.0,0.6925178715104305
nwpu,20.0,1.0,0.0,3.0,3.0,0.49999999975,0.49999999975,238.96053075790405,3.9826755126317344,16.0,0.6678243037699391
nwpu,20.0,1.0,0.0,4.0,1.0,0.649999999675,0.649999999675,293.5794625282288,4.892991042137146,16.0,0.6976977696506551
nwpu,20.0,1.0,0.0,4.0,2.0,0.549999999725,0.549999999725,306.71632385253906,5.111938730875651,16.0,0.6904593142395025
nwpu,20.0,1.0,0.0,4.0,3.0,0.49999999975,0.49999999975,333.78296995162964,5.563049499193827,16.0,0.6745527925694847
nwpu,40.0,1.0,0.0,3.0,1.0,0.5749999998562499,0.5749999998562499,431.8423674106598,7.197372790177663,31.0,0.6866068516445256
nwpu,40.0,1.0,0.0,3.0,3.0,0.5499999998625,0.5749999998562499,440.5516841411591,7.342528069019318,17.0,0.6728984652267491
nwpu,40.0,1.0,0.0,3.0,2.0,0.52499999986875,0.52499999986875,442.0071411132813,7.366785685221354,7.0,0.6922491506991684
nwpu,40.0,1.0,0.0,4.0,1.0,0.5749999998562499,0.5749999998562499,554.4442753791809,9.240737922986348,24.0,0.6943491314105803
nwpu,40.0,1.0,0.0,4.0,2.0,0.6499999998375,0.6499999998375,580.5251276493073,9.67541879415512,7.0,0.6887839589781184
nwpu,40.0,1.0,0.0,4.0,3.0,0.5499999998625,0.5499999998625,588.2193007469177,9.803655012448628,31.0,0.6803331766811893
nwpu,80.0,1.0,0.0,3.0,1.0,0.5249999999343751,0.54999999993125,674.7812919616699,11.246354866027833,18.0,0.6901462071271336
nwpu,80.0,1.0,0.0,3.0,2.0,0.5999999999250001,0.574999999928125,781.4119262695312,13.023532104492189,11.0,0.6846172212698611
nwpu,80.0,1.0,0.0,3.0,3.0,0.64999999991875,0.6624999999171876,824.8528723716736,13.747547872861226,18.0,0.6800628756626729
