epoch,train_loss
0,1.3979023098727195
1,0.8161866962782169
2,0.7264406442528706
3,0.7016559064278641
4,0.6955587565790214
5,0.6944484650980207
6,0.6939432978521637
7,0.6936574876200057
8,0.6940254449735919
9,0.693518930662763
10,0.6936001539121972
11,0.6940789997469218
12,0.6940299689661302
13,0.6933627903353118
14,0.6940504073988234
15,0.6932953894030008
16,0.6937162339578954
17,0.6939320742975527
18,0.6929270565401526
19,0.6928721845041732
20,0.6933300614248662
21,0.693742918957361
22,0.6947336494814086
23,0.6933491587530519
24,0.6929367065321416
25,0.6930253803621725
26,0.6923148274313518
27,0.6931268513094366
28,0.6928611159216387
29,0.6918112933527616
30,0.6927359580885413
31,0.693007934082647
32,0.6918207347284939
33,0.6914458930384363
34,0.6919436752688057
35,0.6914101958166808
36,0.6914635836970053
37,0.6916862368475604
38,0.6925465583693059
39,0.6914430856596674
40,0.6916739940535236
41,0.6920134305845852
42,0.6927706777941224
43,0.6920515715967764
44,0.6913919031511996
45,0.6912700235735647
46,0.6910219550024779
47,0.691836166371026
48,0.6925011038672009
49,0.6911644339453468
50,0.6915239691626264
51,0.6931212127100409
52,0.6929306626211614
53,0.691702961910884
54,0.6919325590025552
55,0.6913902997862551
56,0.6914164364229888
57,0.692743945110941
58,0.6917344748865762
59,0.6925171494375741
