epoch,train_loss
0,0.6763794688679611
1,0.6595948038836394
2,0.6361132083733051
3,0.6184700725916593
4,0.6097913084889859
5,0.6034094123523901
6,0.5995495854309384
7,0.5984038649493523
8,0.599543532579263
9,0.5980726419384182
10,0.601677146403574
11,0.5976457653935725
12,0.6010258345293471
13,0.6007007418561267
14,0.597355916946799
15,0.5952536700667933
16,0.5946991531554252
17,0.59389726206714
18,0.5923252223441366
19,0.5936478643125331
20,0.5962605445086421
21,0.5944136498872548
22,0.5922480283687074
23,0.594425159544158
24,0.5923458157489014
25,0.5940165220206091
26,0.5938684134190759
27,0.5988443551950612
28,0.5956292657555192
29,0.5941339938347352
30,0.59746571168268
31,0.5994874744108657
32,0.594969472140343
33,0.5983270107203981
34,0.5979649601871939
35,0.5924559770533477
36,0.5954339830578904
37,0.5945105104152227
38,0.5909622488928631
39,0.5953687874974515
40,0.5962892769276489
41,0.5956253735722163
42,0.5931859253354071
43,0.5956167130173327
44,0.5905825136615585
45,0.5943714497987643
46,0.5929544626184087
47,0.5950438259544495
48,0.5941717444364942
49,0.5973516045507505
50,0.6055490462458218
51,0.5938047556584717
52,0.5916636018465986
53,0.5936175940936915
54,0.5924035815903711
55,0.5930341897912403
56,0.5975721834596157
57,0.6067786841067663
58,0.5941767273847962
59,0.5930606721349074
