epoch,train_loss
0,0.7584732174858538
1,0.6986064970479672
2,0.6721661269651636
3,0.6600045382963642
4,0.6497288882719702
5,0.6441492795931633
6,0.6415614247309552
7,0.640356916187943
8,0.639619582890215
9,0.6394003331648737
10,0.6392318606364163
11,0.6392186164843472
12,0.6391766428934965
13,0.63916627764577
14,0.6391528785216246
15,0.6392286181437405
16,0.6391227245318328
17,0.6392763972269924
18,0.6391611039626036
19,0.6391416966902648
20,0.6391507267939482
21,0.6391363024699126
22,0.6391419231879149
23,0.6391999542700681
24,0.6391236484038268
25,0.6391867995249662
26,0.6391806721674833
27,0.6391477882849608
28,0.639141225813571
29,0.6392060756670865
30,0.639222532509509
31,0.6391245901572142
32,0.6391270816313659
33,0.6392798662173184
34,0.6391609013068114
35,0.6391690671431456
36,0.6391545295702848
37,0.6392735958086879
38,0.6391701638686095
39,0.6391601085650358
40,0.6391833364951047
41,0.6391618788229857
42,0.6391857683646116
43,0.6391468465315734
44,0.6391346573817168
45,0.6391591727721129
46,0.6392537713038356
47,0.6391864120947751
48,0.639292669295016
49,0.6391973853098782
50,0.6392228662955197
51,0.6391810715186033
52,0.6391980648028287
53,0.6392001688467893
54,0.6391981780516538
55,0.639182090758029
56,0.6391682445990476
57,0.6391766905772123
58,0.6391890048968228
59,0.6391776859747801
