epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,phi
0,-0.5964623093605042,-0.6607199907302856,0.4982376992702484,0.6418442130088806,-0.6624109745025635,-0.6268420219421387,-0.6734289526939392,0.649936318397522,0.0
1,-0.6705620884895325,-0.8099120259284973,-0.26600372791290283,1.0699151754379272,-0.8672555685043335,-0.9278348684310913,-1.13436758518219,1.0695756673812866,0.0
2,-0.33906811475753784,-0.8182607889175415,-0.9229673743247986,1.3859342336654663,-0.6841495633125305,-0.9640198349952698,-1.3663663864135742,1.2534092664718628,0.0
3,0.04775582253932953,-0.9775868058204651,-1.3268706798553467,1.6896588802337646,-0.3567248582839966,-0.9986015558242798,-1.5094298124313354,1.4174748659133911,0.0
4,0.42719051241874695,-1.199130654335022,-1.5113410949707031,1.9104653596878052,0.005543198436498642,-1.0973492860794067,-1.5841407775878906,1.5767217874526978,0.0
5,0.7317512035369873,-1.359718918800354,-1.5667513608932495,2.036414384841919,0.30719390511512756,-1.2300877571105957,-1.6122547388076782,1.7492963075637817,0.0
6,0.9684610366821289,-1.4784018993377686,-1.5360527038574219,2.0852556228637695,0.528805136680603,-1.3699041604995728,-1.590051293373108,1.914572834968567,0.0
7,1.120164394378662,-1.5484875440597534,-1.4921550750732422,2.0921099185943604,0.6514968872070312,-1.477560043334961,-1.5369887351989746,2.074709415435791,0.0
8,1.2524666786193848,-1.574387550354004,-1.4741452932357788,2.067751407623291,0.760430097579956,-1.5343838930130005,-1.48991858959198,2.17543363571167,0.0
9,1.3587872982025146,-1.5813626050949097,-1.4782192707061768,2.0348405838012695,0.8635116815567017,-1.559598684310913,-1.466568946838379,2.2318601608276367,0.0
10,1.4363051652908325,-1.5756343603134155,-1.4985620975494385,1.9944294691085815,0.9514352083206177,-1.555098056793213,-1.4668753147125244,2.2592263221740723,0.0
11,1.4830752611160278,-1.5822958946228027,-1.5003180503845215,1.959175944328308,1.0026406049728394,-1.571864366531372,-1.4502809047698975,2.2879319190979004,0.0
12,1.5171266794204712,-1.5819984674453735,-1.493295431137085,1.929385781288147,1.049515962600708,-1.582482933998108,-1.4254438877105713,2.3221304416656494,0.0
13,1.5391721725463867,-1.584577202796936,-1.4964531660079956,1.905709981918335,1.0952316522598267,-1.5935174226760864,-1.4108332395553589,2.3416030406951904,0.0
14,1.5527302026748657,-1.5841223001480103,-1.515135645866394,1.8913840055465698,1.1265932321548462,-1.5873364210128784,-1.4233938455581665,2.3446247577667236,0.0
15,1.56238853931427,-1.5809016227722168,-1.5200914144515991,1.8607661724090576,1.170637845993042,-1.5847008228302002,-1.425711750984192,2.3501904010772705,0.0
16,1.5677558183670044,-1.577536940574646,-1.495222806930542,1.8250972032546997,1.2066650390625,-1.6017234325408936,-1.3813096284866333,2.3756144046783447,0.0
17,1.5712765455245972,-1.5797063112258911,-1.5470160245895386,1.82060968875885,1.2297520637512207,-1.5726467370986938,-1.4308865070343018,2.3609721660614014,0.0
18,1.572434425354004,-1.5781668424606323,-1.5374870300292969,1.7981865406036377,1.2501697540283203,-1.5781276226043701,-1.4238030910491943,2.3552606105804443,0.0
19,1.5727115869522095,-1.5771605968475342,-1.530450701713562,1.7638827562332153,1.29304039478302,-1.585647463798523,-1.4175082445144653,2.353602886199951,0.0
20,1.5719019174575806,-1.5812479257583618,-1.5242723226547241,1.7661452293395996,1.299674153327942,-1.6096715927124023,-1.3863670825958252,2.377333164215088,0.0
21,1.571672797203064,-1.5798072814941406,-1.521283507347107,1.7578790187835693,1.3080700635910034,-1.6183907985687256,-1.37239408493042,2.3926970958709717,0.0
22,1.5718265771865845,-1.5781854391098022,-1.5360891819000244,1.761877417564392,1.3201220035552979,-1.6038514375686646,-1.3934367895126343,2.3868181705474854,0.0
23,1.5719811916351318,-1.5786421298980713,-1.5403578281402588,1.7560392618179321,1.3236327171325684,-1.5979434251785278,-1.3948619365692139,2.390174388885498,0.0
