epoch,train_loss
0,1.6099215652494132
1,1.0263954636868826
2,0.8420266685764959
3,0.7631993470668142
4,0.7323490796642486
5,0.7162229595777955
6,0.7065301118514894
7,0.7027465580137054
8,0.7035465953975386
9,0.6951280115297092
10,0.6949472425630796
11,0.693706834142827
12,0.6943712590389011
13,0.6934079466516755
14,0.693217074697759
15,0.6925118683037397
16,0.689456546134246
17,0.6909205375374596
18,0.6895524559681301
19,0.6886606155104368
20,0.6896084545318826
21,0.6879993675419284
22,0.6866561768722508
23,0.6861286459637981
24,0.6830108879289176
25,0.6821555791579981
26,0.6805825410571951
27,0.6796620844095522
28,0.6820862529956772
29,0.6780081270430224
30,0.6769600449300184
31,0.6763958333231801
32,0.6770489035344274
33,0.6750075338583477
34,0.6774799285625484
35,0.676862364838185
36,0.6765289126135369
37,0.675075888464959
38,0.6726713238464959
39,0.6790996072978764
40,0.6759295640686122
41,0.675366455147702
42,0.6736171839937356
43,0.6766384778715355
44,0.6748687504034874
45,0.6710206328144989
46,0.6715616045703451
47,0.6728880880580963
48,0.6720486043203606
49,0.6705785213224524
50,0.6676392434358429
51,0.6670709071875871
52,0.6742713986141622
53,0.6698966799491792
54,0.668359911274713
55,0.6697791157478536
56,0.6671920119048115
57,0.6675507841825539
58,0.6680967448471665
59,0.6697777150387018
