dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,320,5,0.025,3,2,0.9249999999710937,0.509374999984082,7955.822259902954,132.59703766504924,16
mnist,320,5,0.03,3,2,0.9249999999710937,0.5031249999842773,7981.908935308456,133.03181558847427,16
mnist,320,5,0.02,3,2,0.9281249999709961,0.5218749999836914,8682.402682065964,144.70671136776608,16
mnist,320,5,0.035,3,2,0.9218749999711914,0.4874999999847656,8548.622792005539,142.47704653342564,16
mnist,320,5,0.04,3,2,0.909374999971582,0.47499999998515624,8821.473041296005,147.02455068826674,16
mnist,320,6,0.001,3,2,0.8968749999719726,0.6374999999800781,8159.891605854034,135.99819343090059,19
mnist,320,5,0.05,3,2,0.9062499999716797,0.47499999998515624,8827.401139736176,147.12335232893625,16
mnist,320,6,0.005,3,2,0.8906249999721679,0.6374999999800781,8827.750868320465,147.12918113867443,19
mnist,320,6,0.01,3,2,0.8562499999732421,0.6343749999801758,8804.73763847351,146.74562730789185,19
mnist,320,6,0.015,3,2,0.8468749999735351,0.618749999980664,8845.87771320343,147.43129522005717,19
mnist,320,6,0.02,3,2,0.828124999974121,0.6218749999805664,8627.051907539368,143.78419845898947,19
mnist,320,6,0.03,3,2,0.7562499999763672,0.609374999980957,7843.937092065811,130.73228486776352,19
mnist,320,7,0,3,2,0.9218749999711914,0.5468749999829101,5512.836217403412,91.8806036233902,19
mnist,320,6,0.025,3,2,0.7968749999750976,0.59999999998125,8172.342148542404,136.20570247570674,19
mnist,320,6,0.035,3,2,0.6937499999783203,0.5781249999819336,7941.3471076488495,132.35578512748083,19
mnist,320,6,0.04,3,2,0.6312499999802734,0.518749999983789,8472.43115234375,141.20718587239583,19
mnist,320,6,0.05,3,2,0.7249999999773438,0.4656249999854492,8580.960475444794,143.0160079240799,37
mnist,320,7,0.001,3,2,0.9218749999711914,0.5437499999830078,8258.288447618484,137.6381407936414,19
mnist,320,7,0.005,3,2,0.9218749999711914,0.5343749999833007,8882.498178958893,148.04163631598155,19
mnist,320,7,0.01,3,2,0.9249999999710937,0.5343749999833007,8267.5784637928,137.79297439654667,19
mnist,320,8,0,3,2,0.8937499999720703,0.6374999999800781,5131.759389400482,85.5293231566747,19
mnist,320,7,0.015,3,2,0.9249999999710937,0.5343749999833007,8990.324595689774,149.83874326149623,19
mnist,320,7,0.02,3,2,0.9281249999709961,0.5218749999836914,9082.742797613144,151.37904662688572,19
mnist,320,7,0.03,3,2,0.9249999999710937,0.499999999984375,7676.851160764694,127.94751934607824,19
mnist,320,7,0.04,3,2,0.909374999971582,0.47499999998515624,7981.5054659843445,133.0250910997391,19
mnist,320,7,0.025,3,2,0.9249999999710937,0.509374999984082,8854.643000364304,147.57738333940506,19
mnist,320,7,0.05,3,2,0.9593749999700195,0.5406249999831054,8137.218894004822,135.62031490008036,37
mnist,320,7,0.035,3,2,0.9218749999711914,0.4874999999847656,9064.09874844551,151.06831247409184,19
mnist,320,8,0.001,3,2,0.8968749999719726,0.6374999999800781,9345.395847797394,155.7565974632899,19
mnist,320,8,0.005,3,2,0.8906249999721679,0.6374999999800781,8445.053367376328,140.75088945627212,19
mnist,320,8,0.01,3,2,0.8562499999732421,0.6343749999801758,8926.29423546791,148.77157059113185,16
mnist,320,8,0.015,3,2,0.8468749999735351,0.618749999980664,8316.607535362244,138.61012558937074,16
mnist,320,9,0,3,2,0.9218749999711914,0.5468749999829101,5176.746333599091,86.27910555998484,19
mnist,320,8,0.02,3,2,0.828124999974121,0.6218749999805664,8195.817524671555,136.59695874452592,16
mnist,320,8,0.025,3,2,0.7968749999750976,0.5968749999813476,8531.447214841843,142.19078691403072,16
mnist,320,8,0.035,3,2,0.6937499999783203,0.5781249999819336,7614.180470228195,126.90300783713658,16
mnist,320,8,0.04,3,2,0.6281249999803711,0.518749999983789,7925.579100370407,132.09298500617345,19
mnist,320,8,0.03,3,2,0.7562499999763672,0.609374999980957,9204.851139307022,153.41418565511702,16
mnist,320,8,0.05,3,2,0.6624999999792969,0.5062499999841796,8945.900639295578,149.09834398825964,16
mnist,320,9,0.001,3,2,0.9218749999711914,0.5437499999830078,9125.33143401146,152.08885723352432,19
mnist,320,9,0.01,3,2,0.9249999999710937,0.5343749999833007,8341.952399969101,139.032539999485,16
mnist,320,9,0.005,3,2,0.9218749999711914,0.5343749999833007,9368.110458374023,156.13517430623372,16
mnist,320,9,0.015,3,2,0.9249999999710937,0.5343749999833007,8582.924413919449,143.04874023199082,16
mnist,320,9,0.02,3,2,0.9281249999709961,0.5218749999836914,8351.842273950577,139.19737123250962,16
mnist,320,9,0.025,3,2,0.9249999999710937,0.509374999984082,8189.668650627136,136.49447751045227,16
mnist,320,10,0,3,2,0.8968749999719726,0.6374999999800781,5669.586473464966,94.49310789108276,24
mnist,320,9,0.03,3,2,0.9249999999710937,0.5031249999842773,8328.995913743973,138.81659856239955,16
mnist,320,9,0.04,3,2,0.909374999971582,0.47499999998515624,7620.876627206802,127.0146104534467,16
mnist,320,9,0.035,3,2,0.9218749999711914,0.4874999999847656,8439.49261713028,140.65821028550465,16
mnist,320,9,0.05,3,2,0.9062499999716797,0.47499999998515624,7943.519374132156,132.39198956886926,16
mnist,320,10,0.001,3,2,0.8968749999719726,0.6374999999800781,8895.914808511734,148.2652468085289,24
mnist,320,10,0.005,3,2,0.8906249999721679,0.6374999999800781,8906.88106393814,148.44801773230236,24
mnist,320,10,0.01,3,2,0.8562499999732421,0.6343749999801758,8073.546753168106,134.55911255280176,24
mnist,320,10,0.02,3,2,0.828124999974121,0.6218749999805664,7880.281900167465,131.33803166945776,24
mnist,320,10,0.015,3,2,0.8468749999735351,0.618749999980664,9060.668430805206,151.01114051342012,24
mnist,320,10,0.03,3,2,0.7562499999763672,0.6062499999810547,7917.459483385086,131.9576580564181,24
mnist,320,10,0.025,3,2,0.7968749999750976,0.59999999998125,8078.543302297592,134.64238837162654,24
