dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
mnist,160.0,1.0,0.0,4.0,2.0,0.8874999999445312,0.8874999999445312,2708.8216621875763,45.14702770312627,35.0,0.6320607047878049
mnist,160.0,1.0,0.0,3.0,1.0,0.9624999999398436,0.6687499999582031,3251.467144966125,54.19111908276876,32.0,0.5951037847623819
mnist,160.0,1.0,0.0,4.0,3.0,0.9374999999414062,0.9374999999414062,3958.643813848496,65.97739689747492,12.0,0.5987000006063115
mnist,320.0,1.0,0.0,3.0,3.0,0.962499999969922,0.6531249999795898,4144.623450517654,69.07705750862758,12.0,0.5182275941806018
mnist,320.0,1.0,0.0,3.0,2.0,0.9218749999711914,0.5468749999829101,4644.297410488129,77.40495684146882,19.0,0.5875107043797956
mnist,320.0,1.0,0.0,3.0,1.0,0.9656249999698242,0.6312499999802734,5115.846369981766,85.26410616636277,24.0,0.5951221126132002
mnist,320.0,1.0,0.0,4.0,1.0,0.6124999999808594,0.6124999999808594,5180.044240951538,86.33407068252563,19.0,0.6436488860644425
mnist,20.0,2.0,0.0,3.0,1.0,0.8499999995749999,0.549999999725,263.5232903957367,4.392054839928945,13.0,0.6082611724673234
mnist,20.0,2.0,0.0,3.0,2.0,0.6999999996499999,0.549999999725,267.545991897583,4.459099864959716,32.0,0.5894582721623938
mnist,320.0,1.0,0.0,4.0,2.0,0.8687499999728515,0.8687499999728515,5855.534523487091,97.5922420581182,9.0,0.6253857528967928
mnist,20.0,2.0,0.0,3.0,3.0,0.8499999995749999,0.5999999997,273.1851980686188,4.55308663447698,32.0,0.520032326617101
mnist,320.0,1.0,0.0,4.0,3.0,0.8562499999732421,0.8562499999732421,6053.180614948273,100.8863435824712,19.0,0.5962895089201552
mnist,640.0,1.0,0.0,3.0,1.0,0.9484374999851808,0.6624999999896485,6288.849425554276,104.81415709257126,12.0,0.5961959493067092
mnist,20.0,2.0,0.0,4.0,1.0,0.549999999725,0.549999999725,452.48958945274353,7.541493157545726,32.0,0.6606867721353625
mnist,20.0,2.0,0.0,4.0,2.0,0.749999999625,0.749999999625,382.5816605091095,6.376361008485159,13.0,0.6687142970794688
mnist,20.0,2.0,0.0,4.0,3.0,0.749999999625,0.749999999625,388.6669366359711,6.477782277266185,32.0,0.5980447170128368
mnist,40.0,2.0,0.0,3.0,1.0,0.9499999997625,0.62499999984375,367.92050099372864,6.132008349895477,13.0,0.5963768635689386
mnist,40.0,2.0,0.0,3.0,3.0,0.92499999976875,0.72499999981875,544.1993780136108,9.06998963356018,13.0,0.5176456521647476
mnist,40.0,2.0,0.0,3.0,2.0,0.59999999985,0.62499999984375,710.6513319015503,11.844188865025838,13.0,0.6144144473924016
mnist,40.0,2.0,0.0,4.0,1.0,0.6999999998249999,0.6999999998249999,655.3889200687408,10.923148667812349,53.0,0.6621562193168828
mnist,40.0,2.0,0.0,4.0,2.0,0.7499999998125,0.7499999998125,580.8900275230408,9.681500458717348,42.0,0.6661207143787198
mnist,40.0,2.0,0.0,4.0,3.0,0.92499999976875,0.92499999976875,756.9146449565887,12.615244082609811,53.0,0.6162877862104834
mnist,640.0,1.0,0.0,3.0,2.0,0.917187499985669,0.7031249999890137,7649.8900847435,127.49816807905832,31.0,0.6032592457438624
mnist,80.0,2.0,0.0,3.0,2.0,0.8999999998875001,0.54999999993125,855.7461311817169,14.262435519695282,17.0,0.6071816515163571
mnist,80.0,2.0,0.0,3.0,3.0,0.94999999988125,0.7374999999078126,761.8971645832062,12.69828607638677,10.0,0.5055392628276234
mnist,80.0,2.0,0.0,3.0,1.0,0.9624999998796876,0.724999999909375,1300.4242672920227,21.673737788200377,10.0,0.5912251215434141
mnist,80.0,2.0,0.0,4.0,1.0,0.6124999999234375,0.6124999999234375,1384.877065896988,23.081284431616464,25.0,0.6469944041158651
mnist,80.0,2.0,0.0,4.0,2.0,0.8124999998984376,0.8124999998984376,1381.450839996338,23.02418066660563,17.0,0.6393636595403647
mnist,80.0,2.0,0.0,4.0,3.0,0.9249999998843752,0.9249999998843752,1342.4321341514587,22.37386890252431,35.0,0.6133575480409681
mnist,160.0,2.0,0.0,3.0,1.0,0.9624999999398436,0.6687499999582031,1611.76553606987,26.862758934497837,11.0,0.5950702499971403
mnist,640.0,1.0,0.0,4.0,3.0,0.8171874999872314,0.8171874999872314,10146.825358629229,169.11375597715377,20.0,0.5955814993288441
mnist,640.0,1.0,0.0,3.0,3.0,0.9593749999850096,0.6703124999895264,10694.989610910416,178.24982684850693,14.0,0.5125792843023318
