dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,320,1,0,4,2,0.8687499999728515,0.8687499999728515,5855.534523487091,97.59224205811819,9
mnist,20,2,0,3,3,0.8499999995749999,0.5999999997,273.1851980686188,4.55308663447698,32
mnist,320,1,0,4,3,0.8562499999732421,0.8562499999732421,6053.180614948273,100.88634358247121,19
mnist,640,1,0,3,1,0.9484374999851807,0.6624999999896485,6288.8494255542755,104.81415709257126,12
mnist,20,2,0,4,1,0.549999999725,0.549999999725,452.48958945274353,7.541493157545726,32
mnist,20,2,0,4,2,0.749999999625,0.749999999625,382.5816605091095,6.3763610084851585,13
mnist,20,2,0,4,3,0.749999999625,0.749999999625,388.66693663597107,6.477782277266185,32
mnist,40,2,0,3,1,0.9499999997624999,0.62499999984375,367.92050099372864,6.132008349895477,13
mnist,40,2,0,3,3,0.92499999976875,0.72499999981875,544.1993780136108,9.06998963356018,13
mnist,40,2,0,3,2,0.59999999985,0.62499999984375,710.6513319015503,11.844188865025838,13
mnist,40,2,0,4,1,0.6999999998249999,0.6999999998249999,655.3889200687408,10.923148667812347,53
mnist,40,2,0,4,2,0.7499999998125,0.7499999998125,580.8900275230408,9.681500458717347,42
mnist,40,2,0,4,3,0.92499999976875,0.92499999976875,756.9146449565887,12.615244082609813,53
mnist,640,1,0,3,2,0.917187499985669,0.7031249999890137,7649.8900847435,127.49816807905833,31
mnist,80,2,0,3,2,0.8999999998875001,0.54999999993125,855.7461311817169,14.262435519695282,17
mnist,80,2,0,3,3,0.9499999998812501,0.7374999999078126,761.8971645832062,12.69828607638677,10
mnist,80,2,0,3,1,0.9624999998796876,0.724999999909375,1300.4242672920227,21.673737788200377,10
mnist,80,2,0,4,1,0.6124999999234375,0.6124999999234375,1384.877065896988,23.081284431616464,25
mnist,80,2,0,4,2,0.8124999998984376,0.8124999998984376,1381.450839996338,23.02418066660563,17
mnist,80,2,0,4,3,0.9249999998843751,0.9249999998843751,1342.4321341514587,22.37386890252431,35
mnist,160,2,0,3,1,0.9624999999398437,0.6687499999582031,1611.76553606987,26.862758934497833,11
mnist,640,1,0,4,3,0.8171874999872314,0.8171874999872314,10146.825358629227,169.11375597715377,20
mnist,640,1,0,3,3,0.9593749999850097,0.6703124999895264,10694.989610910416,178.24982684850693,14
mnist,160,2,0,3,2,0.8624999999460937,0.6374999999601563,2617.6920771598816,43.628201285998024,21
mnist,160,2,0,3,3,0.9812499999386718,0.7312499999542968,2177.3090739250183,36.28848456541697,12
mnist,160,2,0,4,1,0.6124999999617187,0.6124999999617187,2725.805380821228,45.4300896803538,21
mnist,160,2,0,4,2,0.9062499999433593,0.9062499999433593,2656.2508928775787,44.27084821462631,21
mnist,160,2,0,4,3,0.9437499999410156,0.9437499999410156,2544.209276676178,42.403487944602965,44
mnist,640,1,0,4,2,0.8765624999863036,0.8765624999863036,12588.177628040314,209.80296046733855,27
mnist,640,1,0,4,1,0.5968749999906738,0.5968749999906738,13501.823570728302,225.0303928454717,18
mnist,320,2,0,3,1,0.9656249999698242,0.6312499999802734,3415.90735912323,56.9317893187205,9
mnist,320,2,0,3,2,0.7593749999762696,0.518749999983789,3993.8534729480743,66.56422454913458,38
mnist,1280,1,0,3,1,0.9664062499924501,0.6562499999948731,15148.416412830353,252.47360688050588,21
mnist,1280,1,0,3,2,0.9414062499926453,0.5578124999956421,15173.965231657028,252.89942052761714,18
mnist,320,2,0,4,1,0.6124999999808594,0.6124999999808594,5269.054602146149,87.81757670243582,19
mnist,320,2,0,3,3,0.9781249999694336,0.6437499999798828,5816.751451969147,96.94585753281912,24
mnist,320,2,0,4,2,0.8531249999733398,0.8531249999733398,5590.509436130524,93.17515726884206,9
mnist,320,2,0,4,3,0.8687499999728515,0.8687499999728515,5721.866721868515,95.36444536447524,32
mnist,1280,1,0,3,3,0.9570312499925233,0.6703124999947633,17539.706603050232,292.32844338417055,29
mnist,640,2,0,3,1,0.9484374999851807,0.6624999999896485,6894.611044645309,114.91018407742182,12
mnist,1280,1,0,4,1,0.6007812499953065,0.6007812499953065,20848.25557398796,347.4709262331327,12
mnist,640,2,0,3,2,0.9156249999856934,0.7031249999890137,9925.111615419388,165.41852692365646,31
mnist,640,2,0,4,1,0.5968749999906738,0.5968749999906738,9259.856090545654,154.33093484242758,18
mnist,640,2,0,3,3,0.9515624999851319,0.6578124999897217,10148.439326047897,169.14065543413162,22
mnist,640,2,0,4,2,0.8765624999863036,0.8765624999863036,11152.09228181839,185.86820469697315,27
mnist,640,2,0,4,3,0.8703124999864014,0.8703124999864014,10800.46091246605,180.00768187443416,46
mnist,1280,1,0,4,3,0.8578124999932984,0.8578124999932984,28298.63546538353,471.6439244230588,37
mnist,1280,2,0,3,1,0.9664062499924501,0.6562499999948731,14175.410904407501,236.25684840679168,12
mnist,1280,1,0,4,2,0.9054687499929261,0.9054687499929261,29403.739354372025,490.06232257286706,12
mnist,2560,1,0,3,2,0.9603413654570264,0.6094377510009567,29397.915011405945,489.9652501900991,16
mnist,1280,2,0,3,2,0.8507812499933534,0.4945312499961365,15863.030286312103,264.38383810520173,15
mnist,1280,2,0,3,3,0.9749999999923828,0.6617187499948304,17180.105570316315,286.33509283860525,23
mnist,20,3,0,3,1,0.8499999995749999,0.549999999725,240.9523994922638,4.015873324871063,13
mnist,20,3,0,3,2,0.6999999996499999,0.549999999725,259.7867343425751,4.329778905709585,32
mnist,20,3,0,3,3,0.89999999955,0.49999999975,263.15156292915344,4.3858593821525576,13
mnist,20,3,0,4,1,0.549999999725,0.549999999725,310.37548089027405,5.1729246815045675,32
mnist,2560,1,0,3,3,0.9623493975855304,0.665662650599068,33648.48186993599,560.8080311655998,16
mnist,2560,1,0,3,1,0.9618473895534044,0.6772088353379658,34439.14366769791,573.9857277949651,21
mnist,20,3,0,4,2,0.749999999625,0.749999999625,328.80620789527893,5.480103464921315,47
mnist,20,3,0,4,3,0.749999999625,0.749999999625,333.2665100097656,5.554441833496094,47
mnist,40,3,0,3,1,0.92499999976875,0.6499999998375,519.9308376312256,8.665513960520427,13
mnist,40,3,0,3,2,0.59999999985,0.62499999984375,487.30035877227783,8.121672646204631,13
mnist,40,3,0,3,3,0.99999999975,0.6999999998249999,462.1738712787628,7.702897854646047,21
mnist,40,3,0,4,1,0.6999999998249999,0.6999999998249999,640.8320729732513,10.680534549554189,53
mnist,40,3,0,4,2,0.67499999983125,0.67499999983125,659.697215795517,10.99495359659195,13
mnist,40,3,0,4,3,0.9499999997624999,0.9499999997624999,694.8477201461792,11.580795335769654,53
mnist,1280,2,0,4,1,0.6007812499953065,0.6007812499953065,19850.952512025833,330.8492085337639,12
mnist,80,3,0,3,1,0.9624999998796876,0.724999999909375,889.2861478328705,14.821435797214509,8
mnist,80,3,0,3,2,0.5999999999250001,0.54999999993125,948.7495970726013,15.812493284543356,17
mnist,80,3,0,3,3,0.9499999998812501,0.7499999999062501,1112.9659609794617,18.54943268299103,10
mnist,80,3,0,4,2,0.974999999878125,0.974999999878125,1239.6293804645538,20.66048967440923,17
mnist,80,3,0,4,1,0.6124999999234375,0.6124999999234375,1321.4808423519135,22.024680705865226,35
mnist,1280,2,0,4,2,0.9054687499929261,0.9054687499929261,21110.911730527878,351.8485288421313,12
mnist,80,3,0,4,3,0.874999999890625,0.874999999890625,1354.8384611606598,22.58064101934433,33
mnist,160,3,0,3,1,0.9624999999398437,0.6687499999582031,2474.7698254585266,41.24616375764211,32
mnist,160,3,0,3,3,0.9812499999386718,0.7312499999542968,2014.5419232845306,33.57569872140884,17
mnist,160,3,0,3,2,0.8624999999460937,0.6374999999601563,2183.0065038204193,36.38344173034032,21
mnist,1280,2,0,4,3,0.9070312499929138,0.9070312499929138,23027.546883821487,383.79244806369144,29
mnist,160,3,0,4,2,0.9062499999433593,0.9062499999433593,2611.688057422638,43.5281342903773,21
mnist,2560,1,0,4,3,0.8830321285096234,0.8830321285096234,40043.34497857094,667.3890829761823,26
