N,seed,non_equivariance,p_err,max_val_acc,max_epoch
80,42,3,0.03,0.7374999999078126,7
80,42,3,0.04,0.6999999999125001,9
80,42,3,0.05,0.6749999999156251,38
80,42,3,0.06,0.6749999999156251,38
80,42,3,0.07,0.6624999999171876,39
80,42,3,0.08,0.64999999991875,4
80,42,3,0.09,0.6374999999203126,4
80,42,3,0.1,0.64999999991875,39
80,42,4,0.01,0.9249999998843752,4
80,42,4,0.02,0.9374999998828126,4
80,42,4,0.03,0.9249999998843752,4
80,42,4,0.04,0.9124999998859376,4
80,42,4,0.05,0.9249999998843752,3
80,42,4,0.06,0.9249999998843752,3
80,42,4,0.07,0.9374999998828126,3
80,42,4,0.08,0.9374999998828126,3
80,42,4,0.09,0.9249999998843752,3
80,42,4,0.1,0.9249999998843752,3
160,42,0,0.0,0.768749999951953,17
160,42,0,0.01,0.768749999951953,15
160,42,0,0.02,0.768749999951953,15
160,42,0,0.03,0.768749999951953,15
160,42,0,0.04,0.7749999999515624,22
160,42,0,0.05,0.7874999999507812,19
160,42,0,0.06,0.7812499999511718,19
160,42,0,0.07,0.7874999999507812,26
160,42,0,0.08,0.7937499999503906,19
160,42,0,0.09,0.8187499999488281,27
160,42,0,0.1,0.8499999999468749,35
160,42,1,0.0,0.8249999999484374,34
160,42,1,0.01,0.7999999999499999,8
160,42,1,0.02,0.7749999999515624,8
160,42,1,0.03,0.7749999999515624,14
160,42,1,0.04,0.7374999999539062,12
160,42,1,0.05,0.718749999955078,14
160,42,1,0.06,0.6937499999566406,14
160,42,1,0.07,0.6249999999609375,1
160,42,1,0.08,0.6062499999621094,1
160,42,1,0.09,0.5687499999644531,1
160,42,1,0.1,0.5624999999648437,15
160,42,2,0.0,0.8312499999480468,26
160,42,2,0.01,0.8062499999496093,14
160,42,2,0.02,0.7812499999511718,8
160,42,2,0.03,0.7624999999523437,14
160,42,2,0.04,0.7499999999531249,14
160,42,2,0.05,0.7249999999546874,14
160,42,2,0.06,0.7374999999539062,39
160,42,2,0.07,0.69999999995625,34
160,42,2,0.08,0.5999999999625,2
160,42,2,0.09,0.5687499999644531,35
160,42,2,0.1,0.5624999999648437,15
160,42,3,0.0,0.7812499999511718,39
160,42,3,0.01,0.7874999999507812,39
160,42,3,0.02,0.7999999999499999,39
160,42,3,0.03,0.7999999999499999,39
160,42,3,0.04,0.7999999999499999,39
160,42,3,0.05,0.8062499999496093,39
160,42,3,0.06,0.8124999999492187,39
160,42,3,0.07,0.8187499999488281,39
160,42,3,0.08,0.8187499999488281,37
160,42,3,0.09,0.8187499999488281,37
160,42,3,0.1,0.8187499999488281,38
320,42,0,0.01,0.7874999999753906,8
320,42,0,0.02,0.7874999999753906,9
