epoch,train_loss,val_loss,train_acc,val_acc
0,0.7128982320527691,0.7039252643853992,0.2,0.15
1,0.6960398958408496,0.691376229781346,0.4,0.6
2,0.6859837145858423,0.689017543050013,0.75,0.65
3,0.6844469470621111,0.6886589929841076,0.8,0.65
4,0.683971428339688,0.6882035321609903,0.75,0.7
5,0.6833996615789427,0.6876935848106446,0.75,0.75
6,0.6828880723549625,0.6870959551831758,0.75,0.75
7,0.6823504457711602,0.6863888135346718,0.75,0.8
8,0.6817142481834891,0.6856458727963647,0.75,0.85
9,0.6811797890555742,0.6851675069388403,0.75,0.85
10,0.680630093629699,0.6847385535163434,0.75,0.8
11,0.6801561260414896,0.6844118382451283,0.75,0.8
12,0.6796291408108489,0.6840628903558466,0.75,0.8
13,0.6791261102489461,0.6836254896589554,0.75,0.8
14,0.6784045707415689,0.6831399628595152,0.75,0.75
15,0.6776491696951898,0.6823946230250154,0.8,0.75
16,0.6767457558488402,0.68144917630982,0.75,0.85
17,0.6758166937423867,0.6804275272849571,0.7,0.9
18,0.6751014371403651,0.6794380485389586,0.7,0.9
19,0.674650338269762,0.6785477701251212,0.75,0.9
20,0.6742134334049912,0.6779053064481007,0.75,0.85
21,0.6739602379340159,0.6774398096569175,0.75,0.85
22,0.6737103546627202,0.6770793312642026,0.75,0.85
23,0.673609864549625,0.676834847278949,0.8,0.85
24,0.6734756423615315,0.6766060143712858,0.75,0.85
25,0.673454766983286,0.6763456003675699,0.8,0.85
26,0.6732981608587576,0.6762632913900569,0.8,0.85
27,0.6732565873824888,0.676097999989959,0.8,0.85
28,0.6731805756151694,0.6759455885054165,0.8,0.85
29,0.6731028698877533,0.6757976487928692,0.8,0.85
30,0.6730054006929003,0.6756727381745508,0.8,0.85
31,0.6728732351656634,0.6755637230427992,0.8,0.85
32,0.6728115116687116,0.6753966580437366,0.8,0.85
33,0.6726983644252776,0.6753035068599609,0.8,0.85
34,0.6726187992387394,0.6751462442371523,0.8,0.85
35,0.6725474703520022,0.6750683292765143,0.8,0.85
36,0.6724153596200118,0.6750193607311721,0.8,0.85
37,0.6722839264332479,0.6748438751579359,0.8,0.85
38,0.6721924374071182,0.6747825659718437,0.8,0.85
39,0.6720406122942212,0.6747008959458892,0.8,0.85
