epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,phi
0,0.5706261396408081,0.5862573385238647,0.6508933305740356,0.5916922688484192,-0.6131874322891235,-0.5576829314231873,0.5777053833007812,0.6154953837394714,0.0
1,0.7242798805236816,0.9623013734817505,1.0491646528244019,0.9140872955322266,-0.8897120952606201,-0.6629387736320496,0.590958833694458,1.0095258951187134,0.0
2,0.5048690438270569,1.1590535640716553,1.3061374425888062,0.9267653822898865,-0.9574575424194336,-0.46632441878318787,-0.030270829796791077,1.3445149660110474,0.0
3,0.001431003212928772,1.254643440246582,1.4788497686386108,0.7062886953353882,-0.9625940918922424,-0.30649659037590027,-0.7091841697692871,1.6019971370697021,0.0
4,-0.4043635427951813,1.3497133255004883,1.6730992794036865,0.1878395974636078,-1.0549196004867554,-0.3501046895980835,-1.181641936302185,1.8159184455871582,0.0
5,-0.8191796541213989,1.3939868211746216,1.7430925369262695,-0.43750619888305664,-1.1340254545211792,-0.35679635405540466,-1.4674025774002075,1.8958089351654053,0.0
6,-1.1007527112960815,1.439042568206787,1.7410444021224976,-0.9887880682945251,-1.189269781112671,-0.3697163164615631,-1.6315661668777466,1.9484232664108276,0.0
7,-1.2748554944992065,1.474179983139038,1.6713588237762451,-1.3596022129058838,-1.109020471572876,-0.40058356523513794,-1.7092163562774658,1.9771990776062012,0.0
8,-1.3936408758163452,1.5230904817581177,1.6175661087036133,-1.6138426065444946,-0.9740027189254761,-0.5408032536506653,-1.7390344142913818,2.0400328636169434,0.0
9,-1.4715858697891235,1.5467453002929688,1.57021164894104,-1.7940044403076172,-0.682959258556366,-0.6467376947402954,-1.7306513786315918,2.065315008163452,0.0
10,-1.514376163482666,1.5646880865097046,1.5325528383255005,-1.9399751424789429,-0.3087276220321655,-0.8548200130462646,-1.6830953359603882,2.095440149307251,0.0
11,-1.5329772233963013,1.5802931785583496,1.4741613864898682,-2.0536880493164062,-0.008443117141723633,-1.1025056838989258,-1.594457983970642,2.1677610874176025,0.0
12,-1.5496410131454468,1.5954679250717163,1.4527844190597534,-2.1342315673828125,0.345232218503952,-1.314211368560791,-1.539018154144287,2.2138099670410156,0.0
13,-1.5561026334762573,1.6077641248703003,1.4159724712371826,-2.103534698486328,0.49345850944519043,-1.456653118133545,-1.4467471837997437,2.2667031288146973,0.0
14,-1.5624992847442627,1.6154744625091553,1.4211193323135376,-2.087364912033081,0.6208741664886475,-1.5291301012039185,-1.4021052122116089,2.303145408630371,0.0
15,-1.5662281513214111,1.619768738746643,1.4081939458847046,-2.0883898735046387,0.7252284288406372,-1.606824278831482,-1.3510115146636963,2.3764171600341797,0.0
16,-1.5686277151107788,1.6253798007965088,1.4080592393875122,-2.0518300533294678,0.7989587187767029,-1.6383569240570068,-1.3138127326965332,2.3937630653381348,0.0
17,-1.5793428421020508,1.607550859451294,1.4736542701721191,-1.977415680885315,0.8972401022911072,-1.5625587701797485,-1.369030475616455,2.3476743698120117,0.0
18,-1.5769474506378174,1.6194435358047485,1.421882152557373,-2.000196933746338,0.866192638874054,-1.6445698738098145,-1.2821290493011475,2.4294278621673584,0.0
19,-1.576347827911377,1.6206612586975098,1.4368568658828735,-1.9876946210861206,0.8802043199539185,-1.6649678945541382,-1.2809789180755615,2.4255013465881348,0.0
20,-1.577430009841919,1.6144286394119263,1.4588775634765625,-1.9601534605026245,0.9216288924217224,-1.6465636491775513,-1.3113056421279907,2.405702590942383,0.0
21,-1.5766133069992065,1.616718053817749,1.4517953395843506,-1.9616680145263672,0.9423882961273193,-1.659149169921875,-1.285902500152588,2.422708511352539,0.0
22,-1.5760490894317627,1.6218844652175903,1.4470752477645874,-1.9725421667099,0.9495372772216797,-1.6798638105392456,-1.2702046632766724,2.430345058441162,0.0
23,-1.574942946434021,1.623211145401001,1.4312052726745605,-1.9612829685211182,0.9174954891204834,-1.7137658596038818,-1.2375800609588623,2.4710023403167725,0.0
24,-1.5731052160263062,1.6226871013641357,1.4373219013214111,-1.959702730178833,0.9466323852539062,-1.7132660150527954,-1.2482606172561646,2.4451708793640137,0.0
25,-1.5742619037628174,1.616701364517212,1.4444997310638428,-1.952968955039978,0.9825429320335388,-1.688921570777893,-1.2546530961990356,2.4484734535217285,0.0
26,-1.5749691724777222,1.6106940507888794,1.4646031856536865,-1.9367148876190186,0.9991061091423035,-1.6753907203674316,-1.2790257930755615,2.4347352981567383,0.0
27,-1.5737193822860718,1.6196184158325195,1.4496952295303345,-1.9256657361984253,0.9473810791969299,-1.7055613994598389,-1.2434502840042114,2.4582455158233643,0.0
28,-1.5729657411575317,1.614946961402893,1.447815179824829,-1.9525798559188843,0.955010712146759,-1.698767900466919,-1.257619023323059,2.4544835090637207,0.0
29,-1.5756299495697021,1.620328426361084,1.4536036252975464,-1.934466004371643,0.9600987434387207,-1.6942551136016846,-1.25397789478302,2.453531503677368,0.0
30,-1.5760252475738525,1.6222413778305054,1.4284831285476685,-1.9474034309387207,0.9598610401153564,-1.7302638292312622,-1.2038005590438843,2.4878807067871094,0.0
31,-1.5754767656326294,1.6129013299942017,1.4513354301452637,-1.9227651357650757,0.9813380241394043,-1.6870965957641602,-1.246515154838562,2.4532346725463867,0.0
32,-1.572743535041809,1.619343876838684,1.4477897882461548,-1.9420138597488403,0.9613872170448303,-1.714035153388977,-1.2452400922775269,2.4599483013153076,0.0
33,-1.5805851221084595,1.5899721384048462,1.4636414051055908,-1.908571720123291,1.0000317096710205,-1.6646521091461182,-1.2803747653961182,2.4386050701141357,0.0
34,-1.5771393775939941,1.6173518896102905,1.4546445608139038,-1.976623773574829,0.9788751006126404,-1.7063215970993042,-1.2235829830169678,2.473449230194092,0.0
35,-1.5770061016082764,1.6097073554992676,1.4470176696777344,-1.928830623626709,0.9470735192298889,-1.698042392730713,-1.2493494749069214,2.464085102081299,0.0
36,-1.5717025995254517,1.6229453086853027,1.4197090864181519,-2.0042338371276855,0.9268022179603577,-1.7342207431793213,-1.207417607307434,2.494231700897217,0.0
37,-1.5858999490737915,1.6012762784957886,1.4713695049285889,-1.9500349760055542,0.9707016348838806,-1.6422268152236938,-1.2538747787475586,2.4495065212249756,0.0
38,-1.578382968902588,1.6147377490997314,1.422570824623108,-1.942963719367981,0.973585844039917,-1.6980091333389282,-1.2297492027282715,2.4954659938812256,0.0
39,-1.5844987630844116,1.5905287265777588,1.4897748231887817,-1.9002102613449097,1.04460608959198,-1.6464651823043823,-1.2789638042449951,2.422689437866211,0.0
40,-1.5829819440841675,1.5978609323501587,1.4921404123306274,-1.9003143310546875,1.0420045852661133,-1.6638308763504028,-1.2773330211639404,2.431769847869873,0.0
41,-1.5698024034500122,1.6469131708145142,1.392136573791504,-1.9810584783554077,0.9997043609619141,-1.7637457847595215,-1.1529786586761475,2.556321620941162,0.0
42,-1.5827628374099731,1.5955480337142944,1.4848966598510742,-1.8717546463012695,1.039488434791565,-1.682433009147644,-1.255210041999817,2.442201852798462,0.0
43,-1.5743045806884766,1.6182039976119995,1.4506829977035522,-1.9092649221420288,1.018729329109192,-1.719688892364502,-1.2290959358215332,2.460615634918213,0.0
44,-1.575805425643921,1.5987927913665771,1.4787709712982178,-1.922924280166626,0.9843875765800476,-1.684269905090332,-1.2644016742706299,2.428621530532837,0.0
45,-1.5726161003112793,1.608723521232605,1.4614111185073853,-1.9261878728866577,0.9580059051513672,-1.6976393461227417,-1.2738807201385498,2.436594009399414,0.0
46,-1.5846073627471924,1.5843755006790161,1.4958301782608032,-1.8784221410751343,1.0399532318115234,-1.6275138854980469,-1.3079378604888916,2.3756625652313232,0.0
47,-1.5782228708267212,1.619216799736023,1.4353638887405396,-1.9811843633651733,1.0139271020889282,-1.6954153776168823,-1.2393232583999634,2.463404655456543,0.0
48,-1.5768163204193115,1.626278042793274,1.4150067567825317,-1.9296144247055054,0.9993430376052856,-1.725459337234497,-1.2047224044799805,2.4999208450317383,0.0
49,-1.5925102233886719,1.5963099002838135,1.4719756841659546,-1.9048172235488892,0.9896436333656311,-1.6807053089141846,-1.233113408088684,2.4686038494110107,0.0
50,-1.579893708229065,1.5930380821228027,1.4789822101593018,-1.892390489578247,1.0399953126907349,-1.6450272798538208,-1.2841166257858276,2.4428038597106934,0.0
51,-1.5771225690841675,1.6042321920394897,1.4512488842010498,-1.9534409046173096,1.0411349534988403,-1.7073277235031128,-1.223832130432129,2.4734272956848145,0.0
52,-1.5657798051834106,1.6623663902282715,1.3690487146377563,-1.9422039985656738,0.9937633275985718,-1.7737975120544434,-1.1517817974090576,2.538484811782837,0.0
53,-1.5751396417617798,1.6101930141448975,1.4419599771499634,-1.9723652601242065,1.0008090734481812,-1.738864541053772,-1.2024177312850952,2.4968502521514893,0.0
54,-1.5879331827163696,1.5962345600128174,1.504501461982727,-1.8488377332687378,1.023242473602295,-1.6618508100509644,-1.283421516418457,2.4060075283050537,0.0
55,-1.586513638496399,1.5867767333984375,1.480663776397705,-1.8745441436767578,0.9934422969818115,-1.659301996231079,-1.2639362812042236,2.4340524673461914,0.0
56,-1.5652555227279663,1.6477948427200317,1.4057124853134155,-1.9470934867858887,0.9300962090492249,-1.753211259841919,-1.1986969709396362,2.5060558319091797,0.0
57,-1.5787646770477295,1.5904773473739624,1.4938334226608276,-1.9044145345687866,0.9978793263435364,-1.6636706590652466,-1.294047236442566,2.4036717414855957,0.0
58,-1.5879526138305664,1.575999140739441,1.5061416625976562,-1.8960182666778564,1.0494930744171143,-1.6468676328659058,-1.2999893426895142,2.3946259021759033,0.0
59,-1.5913015604019165,1.590529203414917,1.504733920097351,-1.8698962926864624,0.9916833639144897,-1.6517291069030762,-1.3003110885620117,2.3968470096588135,0.0
