epoch,train_loss
0,0.7523269414784183
1,0.660218745459731
2,0.616403645267392
3,0.6114393591785261
4,0.6101395010852847
5,0.6100377619171191
6,0.6087925314808136
7,0.6074030518436893
8,0.607260167589236
9,0.6056603670025604
10,0.6039505898858116
11,0.6024797737504282
12,0.6015488505269472
13,0.6001698136235875
14,0.5988495528604397
15,0.5977450728323045
16,0.5972971677686824
17,0.5973078429605615
18,0.5974701762106047
19,0.5970343887712652
20,0.5978010237123543
21,0.5966012000944378
22,0.597032189359873
23,0.5967228054907067
24,0.5968955576326566
25,0.5972551047708651
26,0.5968199014570443
27,0.5971481859590686
28,0.5970312893297369
29,0.5972462892439029
30,0.5967378377821189
31,0.5970167398359475
32,0.597284042825903
33,0.5973293185140737
34,0.5977366745378558
35,0.59703444837591
36,0.5969894826318921
37,0.5970067798998057
38,0.5973681330587508
39,0.5966885805036772
40,0.596964526167125
41,0.596879309406491
42,0.5976232945825658
43,0.5975205182935812
44,0.5977267384435719
45,0.597205692520347
46,0.5979864060785318
47,0.597112935772149
48,0.596907985201092
49,0.5966376721765754
50,0.5965248823072686
51,0.5967465340997914
52,0.5981375813390732
53,0.5964572966005589
54,0.5974171817209357
55,0.5969039559271052
56,0.5969319283868979
57,0.5969607651140398
58,0.5971718668844375
59,0.5972738325502531
60,0.5975942730810251
61,0.5967755615617966
62,0.5968538939859592
63,0.59736597537061
64,0.5977849602605876
65,0.5972324907686376
66,0.5974012911226388
67,0.5970202803518471
68,0.5976241528894506
69,0.598057991256906
70,0.5970443129446201
71,0.596764630069945
72,0.5971464633848346
73,0.5970557987596682
74,0.5974542736913789
75,0.5971096813585443
76,0.59772459267636
77,0.5984120011236149
78,0.5974707901384458
79,0.5967184007074579
