run_dir,run_name,architecture,N,seed,dataset,readout,augment_train,device,num_qubits,reps,img_size,epochs_configured,epochs_completed,train_accuracy,val_accuracy,val_aug_accuracy,p4m_is_invariant
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=1,config7,80,1,mnist,avg_x,,default.qubit,8,2,16,40,40,0.9499999998812501,0.9124999998859376,0.42499999994687504,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=1,config7,80,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9624999998796876,0.9499999998812501,0.5999999999250001,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=avg_x,TRAINING.epochs=40",config6_N=80_seed=2,config6,80,2,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6624999999171876,0.64999999991875,0.64999999991875,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=80_seed=2,config6,80,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9249999998843751,0.9124999998859376,0.9124999998859376,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=2,config7,80,2,mnist,avg_x,,default.qubit,8,2,16,40,40,0.9124999998859376,0.9374999998828126,0.7874999999015626,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=2,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=2,config7,80,2,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8249999998968751,0.8624999998921876,0.7374999999078126,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=avg_x,TRAINING.epochs=40",config6_N=80_seed=3,config6,80,3,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6874999999140625,0.6624999999171876,0.6624999999171876,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=80_seed=3,config6,80,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9124999998859376,0.8624999998921876,0.8624999998921876,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=3,config7,80,3,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6124999999234375,0.6624999999171876,0.54999999993125,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=False,GENERAL.seed=3,QNN.architecture=config7,QNN.readout=x0_xhalf,TRAINING.epochs=40",config7_N=80_seed=3,config7,80,3,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.9499999998812501,0.9249999998843751,0.6124999999234375,False
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=avg_x,TRAINING.epochs=40",config6_N=80_seed=1,config6,80,1,mnist,avg_x,,default.qubit,8,2,16,40,40,0.5999999999250001,0.6749999999156251,0.6749999999156251,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config6,QNN.readout=x0_xhalf,TRAINING.epochs=40",config6_N=80_seed=1,config6,80,1,mnist,x0_xhalf,,default.qubit,8,2,16,40,40,0.8999999998875001,0.874999999890625,0.874999999890625,True
"results_def/multirun/2026-08-24/12-25-05/DATA.N=80,DATA.augment_train=True,GENERAL.seed=1,QNN.architecture=config7,QNN.readout=avg_x,TRAINING.epochs=40",config7_N=80_seed=1,config7,80,1,mnist,avg_x,,default.qubit,8,2,16,40,40,0.6374999999203126,0.6624999999171876,0.64999999991875,False
