epoch,train_loss,val_loss,train_acc,val_acc
0,0.6931471748350597,0.6931471886839083,0.5249999999671875,0.4937499999691406
1,0.693147131049822,0.6931472045726722,0.5749999999640625,0.48124999996992185
2,0.6931470661263993,0.6931472046371581,0.5624999999648437,0.5249999999671875
3,0.6931470291145064,0.693147202502502,0.6187499999613281,0.5437499999660156
4,0.6931470022323281,0.6931471926921927,0.6124999999617187,0.5124999999679687
5,0.6931469965537386,0.6931471970523384,0.6187499999613281,0.5187499999675781
6,0.6931469717270202,0.6931471964092492,0.6187499999613281,0.5062499999683594
7,0.6931469604572675,0.6931471988010265,0.6249999999609375,0.5124999999679687
8,0.6931469468107984,0.6931471960759686,0.6187499999613281,0.5187499999675781
9,0.6931469404042715,0.693147195137033,0.6374999999601563,0.5124999999679687
10,0.6931469281317715,0.6931472039043419,0.6249999999609375,0.5124999999679687
11,0.6931469127667802,0.6931472024284825,0.6187499999613281,0.49999999996875
12,0.6931469076185575,0.6931471991783612,0.6062499999621094,0.49999999996875
13,0.6931468934945567,0.6931472013350066,0.5937499999628906,0.49999999996875
14,0.6931468840965945,0.6931472070070963,0.5999999999625,0.49999999996875
15,0.6931468745240744,0.6931472106071489,0.5999999999625,0.5062499999683594
16,0.693146869396153,0.6931472116153705,0.5999999999625,0.49999999996875
17,0.6931468694241573,0.6931472099502869,0.5937499999628906,0.49999999996875
18,0.6931468628656187,0.6931472131880713,0.5874999999632812,0.49999999996875
19,0.6931468579962022,0.6931472171670662,0.5937499999628906,0.49999999996875
20,0.693146854460393,0.6931472136740505,0.5937499999628906,0.4937499999691406
21,0.6931468535901755,0.69314722030887,0.5937499999628906,0.49999999996875
22,0.6931468493065592,0.6931472197533679,0.5937499999628906,0.49999999996875
23,0.6931468504604609,0.6931472219907425,0.6062499999621094,0.5062499999683594
24,0.6931468532113352,0.6931472257071506,0.5937499999628906,0.5062499999683594
25,0.6931468488845716,0.6931472241447785,0.5874999999632812,0.49999999996875
26,0.6931468469719315,0.693147224579919,0.5874999999632812,0.4937499999691406
27,0.6931468456576184,0.6931472262091724,0.5812499999636719,0.4937499999691406
28,0.6931468477105535,0.6931472279163936,0.5874999999632812,0.5062499999683594
29,0.6931468442350772,0.6931472287409361,0.5812499999636719,0.5062499999683594
30,0.6931468451123289,0.6931472295975563,0.5812499999636719,0.5062499999683594
31,0.6931468462929063,0.6931472330080921,0.5874999999632812,0.5062499999683594
32,0.6931468429615113,0.6931472329711396,0.5812499999636719,0.5062499999683594
33,0.6931468428725374,0.6931472315446291,0.5812499999636719,0.5062499999683594
34,0.6931468455632644,0.6931472325725354,0.5812499999636719,0.5124999999679687
35,0.6931468421546364,0.6931472356429753,0.5812499999636719,0.5124999999679687
36,0.6931468410369306,0.6931472319423817,0.5812499999636719,0.5124999999679687
37,0.6931468411386655,0.6931472331147429,0.5812499999636719,0.5124999999679687
38,0.6931468436624493,0.6931472353967991,0.5812499999636719,0.5124999999679687
39,0.6931468431101001,0.6931472313252927,0.5749999999640625,0.5062499999683594
