epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,phi
0,-0.5234653949737549,0.5365129113197327,0.47836142778396606,-0.3989735245704651,0.22071175277233124,-0.5027412176132202,0.579761266708374,0.6279094219207764,0.0
1,-0.9704615473747253,1.0242140293121338,1.0118643045425415,-0.8589552640914917,-0.2992270290851593,-1.0202927589416504,1.0183403491973877,1.073205590248108,0.0
2,-1.2716784477233887,1.229982852935791,1.2737759351730347,-0.9428756237030029,-0.4930834174156189,-1.1887218952178955,1.1922094821929932,1.2671449184417725,0.0
3,-1.41114342212677,1.2646656036376953,1.3943992853164673,-0.949897050857544,-0.5457735657691956,-1.194689393043518,1.2536402940750122,1.3966680765151978,0.0
4,-1.4510931968688965,1.2632801532745361,1.4227168560028076,-0.9602991342544556,-0.492245614528656,-1.1592800617218018,1.2676715850830078,1.4616765975952148,0.0
5,-1.4633458852767944,1.264602780342102,1.4394842386245728,-0.9476009011268616,-0.49663299322128296,-1.1379051208496094,1.258495807647705,1.5642180442810059,0.0
6,-1.4696928262710571,1.2486698627471924,1.442138671875,-0.956707775592804,-0.4755275547504425,-1.1321518421173096,1.249664306640625,1.6698864698410034,0.0
7,-1.465610146522522,1.2616119384765625,1.4204726219177246,-0.8884600400924683,-0.3947335481643677,-1.0494728088378906,1.2431488037109375,1.7397056818008423,0.0
8,-1.4849549531936646,1.2513563632965088,1.4015283584594727,-0.8317909836769104,-0.32174208760261536,-1.0172616243362427,1.2135603427886963,1.7905056476593018,0.0
9,-1.4531804323196411,1.2704473733901978,1.4324404001235962,-0.855677604675293,-0.2875804901123047,-1.0485213994979858,1.1893101930618286,1.8882817029953003,0.0
10,-1.4582569599151611,1.266916275024414,1.421265721321106,-0.8021151423454285,-0.21952186524868011,-1.0156443119049072,1.1550112962722778,1.9576877355575562,0.0
11,-1.4686789512634277,1.3094638586044312,1.4614485502243042,-0.8140095472335815,-0.1941561996936798,-1.0453155040740967,1.0997594594955444,2.057608127593994,0.0
