epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,phi
0,-0.29152563214302063,-0.4698956608772278,-0.37763354182243347,0.468189537525177,-0.4940045177936554,-0.4458010792732239,-0.5713229179382324,0.5728865265846252,0.5043623447418213,0.45842769742012024,0.5095117688179016,-0.37255579233169556,-0.5136427879333496,-0.5024104118347168,-0.48515912890434265,-0.5328800082206726,-0.3596377670764923,-0.5485734343528748,0.4310714602470398,-0.5012186765670776,0.5313721895217896,-0.35821112990379333,-0.24724362790584564,-0.5066200494766235,0.0
1,0.10349182784557343,-0.3666815161705017,-0.44082167744636536,0.5621410012245178,-0.5278517603874207,-0.34187304973602295,-0.8673518896102905,0.938953697681427,0.9460594654083252,0.6931553483009338,0.6742566227912903,-0.46033671498298645,-0.49307236075401306,-0.5052130222320557,-0.6556227803230286,-0.6488423347473145,-0.027668457478284836,-0.592327892780304,0.5219185948371887,-0.5308249592781067,0.4874073565006256,-0.03648490458726883,0.01766311563551426,-0.818824052810669,0.0
2,0.2596876621246338,-0.31131070852279663,-0.5359516739845276,0.5208437442779541,-0.48936548829078674,-0.06238436698913574,-1.105769157409668,1.1759209632873535,1.2734509706497192,0.7129343748092651,0.7327657341957092,-0.5237847566604614,-0.3843812942504883,-0.441873162984848,-0.6201373934745789,-0.4818572402000427,0.4184662699699402,-0.5694886445999146,0.6512084007263184,-0.33545762300491333,0.2241605818271637,0.20443682372570038,0.21733121573925018,-0.8988193273544312,0.0
3,0.19440646469593048,-0.21700315177440643,-0.5694024562835693,0.5799387097358704,-0.40213608741760254,0.2245427370071411,-1.262703537940979,1.3165409564971924,1.3599915504455566,0.4858205020427704,0.7347559928894043,-0.44479337334632874,-0.4090893268585205,-0.22858160734176636,-0.5473239421844482,-0.16460144519805908,0.7111700773239136,-0.655595064163208,0.8331459760665894,-0.09955599904060364,-0.062480680644512177,0.5097327828407288,0.20198386907577515,-0.8676509857177734,0.0
4,0.0325300507247448,-0.028689134865999222,-0.8167268633842468,0.8244781494140625,-0.3429606258869171,0.24268849194049835,-1.3701157569885254,1.5099061727523804,1.3770997524261475,0.27014610171318054,0.8422757983207703,-0.5403127074241638,-0.41454365849494934,-0.1837066411972046,-0.4728580117225647,0.20657683908939362,0.8928281664848328,-0.6566741466522217,1.0749915838241577,0.05891411006450653,-0.28259697556495667,0.9109581112861633,0.09108123183250427,-0.905146598815918,0.0
5,-0.12763896584510803,0.21149922907352448,-0.8662143349647522,0.9214102625846863,-0.2377469390630722,0.18598204851150513,-1.3700443506240845,1.6004960536956787,1.3892379999160767,0.15888935327529907,0.941519021987915,-0.5206872820854187,-0.3707752227783203,-0.13469421863555908,-0.4061940908432007,0.41740119457244873,0.9348579049110413,-0.6628029942512512,1.2452348470687866,0.06700166314840317,-0.4536725878715515,0.9961162209510803,0.05262249708175659,-0.9269061088562012,0.0
6,-0.23104630410671234,0.3387111723423004,-0.9187169671058655,0.9410472512245178,-0.10425823926925659,0.1145561933517456,-1.2755794525146484,1.6476916074752808,1.4974459409713745,0.11021147668361664,0.8925833702087402,-0.41089072823524475,-0.5495439171791077,-0.029727932065725327,-0.47112616896629333,0.5533413290977478,0.9675515294075012,-0.6930581331253052,1.4021223783493042,0.07237489521503448,-0.6153044104576111,1.0164989233016968,0.0008748196996748447,-0.9340147972106934,0.0
7,-0.34683793783187866,0.5080747008323669,-0.8489298820495605,0.9082416892051697,0.041685059666633606,0.004162894561886787,-1.1490240097045898,1.744112491607666,1.5012966394424438,0.03861650079488754,0.9576089978218079,-0.40153419971466064,-0.6474835872650146,-0.0727793499827385,-0.4226221442222595,0.6059821844100952,0.9527541995048523,-0.5899782776832581,1.4410016536712646,-0.07283034920692444,-0.7287676930427551,1.0587704181671143,0.06121920421719551,-1.0164375305175781,0.0
8,-0.43077582120895386,0.58722323179245,-0.8923112750053406,0.8377887606620789,0.19137702882289886,-0.10667377710342407,-0.9422054886817932,1.7791187763214111,1.5485013723373413,0.025641780346632004,1.0395759344100952,-0.27815455198287964,-0.8521730899810791,-0.04986688494682312,-0.5146097540855408,0.6612871289253235,0.9392957091331482,-0.583949863910675,1.4885473251342773,-0.2080107033252716,-0.7876251935958862,1.0942416191101074,0.0485820472240448,-1.1059669256210327,0.0
9,-0.5316924452781677,0.7201668620109558,-0.8328439593315125,0.7891060709953308,0.38201045989990234,-0.12947584688663483,-0.7396467328071594,1.7851601839065552,1.5867350101470947,-0.05236267298460007,1.0678132772445679,-0.2299266904592514,-1.020674705505371,-0.029255419969558716,-0.6163870692253113,0.7646979689598083,0.9417722225189209,-0.5734759569168091,1.5102219581604004,-0.4313606321811676,-0.7761045694351196,1.0860923528671265,0.021164100617170334,-1.1827037334442139,0.0
10,-0.6659301519393921,0.8555836081504822,-0.8721727728843689,0.7532709240913391,0.6603463292121887,-0.06081879884004593,-0.5820343494415283,1.8042347431182861,1.6063768863677979,-0.07018180191516876,1.0803791284561157,-0.2193777710199356,-1.0940603017807007,-0.11157313734292984,-0.7483787536621094,0.8496917486190796,0.9401736259460449,-0.5105448365211487,1.5335566997528076,-0.8040689826011658,-0.6406902074813843,1.0241137742996216,0.06564735621213913,-1.2391183376312256,0.0
11,-0.6774115562438965,0.9474512934684753,-0.8246083855628967,0.7420479655265808,1.0722434520721436,0.0968378409743309,-0.44546157121658325,1.7548531293869019,1.535447359085083,-0.19800275564193726,1.220249891281128,-0.18091288208961487,-1.1204971075057983,-0.20828288793563843,-1.0277529954910278,1.0141491889953613,0.9087467789649963,-0.5347620248794556,1.5532444715499878,-1.45582914352417,-0.2539694905281067,0.8856917023658752,0.027136754244565964,-1.3092410564422607,0.0
12,-0.7788549661636353,1.0288732051849365,-0.825564444065094,0.7470725774765015,1.237423062324524,0.14150983095169067,-0.3155747354030609,1.7092175483703613,1.5646525621414185,-0.15833933651447296,1.220826506614685,-0.1454634815454483,-1.240995168685913,-0.16502848267555237,-1.1945325136184692,1.186452031135559,0.9327842593193054,-0.5069006681442261,1.6572160720825195,-1.7572044134140015,-0.16697892546653748,0.9359235763549805,0.032812342047691345,-1.366318702697754,0.0
13,-0.7586525678634644,1.0450823307037354,-0.7171314358711243,0.6380363702774048,1.268577218055725,0.11634384840726852,-0.2343451827764511,1.667115569114685,1.543837308883667,-0.154319167137146,1.2546952962875366,-0.11563046276569366,-1.361524224281311,-0.09835011512041092,-1.3156777620315552,1.3240972757339478,0.9877022504806519,-0.4309858977794647,1.760210633277893,-1.9110416173934937,-0.1994369626045227,0.8513053059577942,0.02864636480808258,-1.384023904800415,0.0
14,-0.6770450472831726,1.0579087734222412,-0.647383987903595,0.5670813918113708,1.2838720083236694,0.09586119651794434,-0.17477501928806305,1.6541699171066284,1.503188133239746,-0.18104256689548492,1.2520452737808228,-0.08822213113307953,-1.4457029104232788,-0.04450453445315361,-1.4034615755081177,1.4048985242843628,0.9901002049446106,-0.35656291246414185,1.9048374891281128,-2.034881591796875,-0.22283701598644257,0.8061486482620239,0.04058191925287247,-1.4122259616851807,0.0
15,-0.7111719250679016,1.0683188438415527,-0.48384183645248413,0.4413858652114868,1.2638176679611206,0.09751047939062119,-0.16123531758785248,1.6388258934020996,1.5206198692321777,-0.17002151906490326,1.3165258169174194,-0.11105164140462875,-1.4721295833587646,-0.01674211584031582,-1.4604206085205078,1.4563699960708618,1.0801005363464355,-0.24472592771053314,2.0366287231445312,-2.220947265625,-0.34719911217689514,0.8574470281600952,0.040867168456315994,-1.4476821422576904,0.0
16,-0.5700936317443848,1.075089693069458,-0.3934752345085144,0.3610258102416992,1.1841480731964111,0.07310391962528229,-0.15616005659103394,1.6337041854858398,1.354145884513855,-0.25126945972442627,1.4024418592453003,-0.10250832885503769,-1.5551910400390625,-0.001529483124613762,-1.4954475164413452,1.4961981773376465,1.0550793409347534,-0.13416250050067902,2.219430446624756,-2.4798665046691895,-0.4120347499847412,0.9073404669761658,0.06097543612122536,-1.492191195487976,0.0
