epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,phi
0,0.4642871916294098,-0.4527459144592285,-0.4940105974674225,0.4708770215511322,-0.42564234137535095,0.4298453629016876,-0.45590248703956604,0.4793025553226471,0.45921897888183594,-0.5249322056770325,0.5054982304573059,0.4684213399887085,0.41175150871276855,-0.41009652614593506,-0.49028369784355164,-0.5064759254455566,0.0
1,0.5954782366752625,-0.6237139105796814,-0.7394172549247742,0.6652544736862183,-0.4925784170627594,0.5427093505859375,-0.6287598013877869,0.7031089663505554,0.6615102291107178,-0.8053427338600159,0.7866751551628113,0.7014614343643188,0.48619332909584045,-0.4616760015487671,-0.7509757876396179,-0.7977595329284668,0.0
2,0.632542073726654,-0.7057204246520996,-0.8555719256401062,0.7530983686447144,-0.5071598887443542,0.5890914797782898,-0.7070603370666504,0.8179278373718262,0.7516809105873108,-0.9424598217010498,0.9267979264259338,0.8065271973609924,0.49261555075645447,-0.44562265276908875,-0.8803355097770691,-0.9416617155075073,0.0
3,0.645764946937561,-0.7570620179176331,-0.9230736494064331,0.799595296382904,-0.5116708874702454,0.6178445816040039,-0.757186233997345,0.885119616985321,0.8024129867553711,-1.0214555263519287,1.0074068307876587,0.8602681159973145,0.4873964190483093,-0.4214119613170624,-0.9549756646156311,-1.0224173069000244,0.0
4,0.6497196555137634,-0.7912697196006775,-0.9676246047019958,0.8275054097175598,-0.5143724679946899,0.6392601728439331,-0.7958173155784607,0.92844158411026,0.8349087834358215,-1.074639916419983,1.059295415878296,0.8917686343193054,0.479371577501297,-0.40073010325431824,-1.0034550428390503,-1.0728579759597778,0.0
5,0.6507138013839722,-0.8082873821258545,-0.9914431571960449,0.8367428779602051,-0.5162150859832764,0.6520068049430847,-0.8203345537185669,0.9475632309913635,0.8510048389434814,-1.10307776927948,1.0856797695159912,0.900669276714325,0.4752245843410492,-0.39428776502609253,-1.0258100032806396,-1.0940322875976562,0.0
6,0.6489284634590149,-0.8173395395278931,-1.0084770917892456,0.8384456634521484,-0.5181068181991577,0.6632564663887024,-0.8427316546440125,0.9565593600273132,0.8609223365783691,-1.1232357025146484,1.1027789115905762,0.9001067876815796,0.46998652815818787,-0.3939442038536072,-1.0378427505493164,-1.1024941205978394,0.0
7,0.6465570330619812,-0.8191791772842407,-1.0182684659957886,0.833940327167511,-0.5194418430328369,0.6700496077537537,-0.857136607170105,0.9560753107070923,0.8647474646568298,-1.1349537372589111,1.110950231552124,0.8920729756355286,0.4672108590602875,-0.40448155999183655,-1.0393568277359009,-1.0997314453125,0.0
8,0.645003616809845,-0.8286261558532715,-1.0369563102722168,0.8351218700408936,-0.5211341977119446,0.681624174118042,-0.8808284997940063,0.965589702129364,0.8743729591369629,-1.1566345691680908,1.1296637058258057,0.8894972801208496,0.46259626746177673,-0.4074912667274475,-1.0520423650741577,-1.1090760231018066,0.0
9,0.6397927403450012,-0.8128646612167358,-1.0315462350845337,0.8183562159538269,-0.5221526622772217,0.6806150078773499,-0.8825457692146301,0.9466952085494995,0.8646501898765564,-1.1536904573440552,1.1200604438781738,0.8672937154769897,0.46470677852630615,-0.43503206968307495,-1.0365506410598755,-1.0853025913238525,0.0
10,0.6387485265731812,-0.8208758234977722,-1.0475388765335083,0.8130552768707275,-0.5235963463783264,0.6915936470031738,-0.9059590697288513,0.9493381381034851,0.8719743490219116,-1.1697983741760254,1.1330623626708984,0.855587899684906,0.4599711298942566,-0.4415591061115265,-1.0418890714645386,-1.0855233669281006,0.0
11,0.6356545090675354,-0.8123400211334229,-1.0500521659851074,0.7998930811882019,-0.5233030915260315,0.6937810778617859,-0.913518488407135,0.9381744265556335,0.8671910166740417,-1.1738835573196411,1.1333189010620117,0.8354478478431702,0.46174633502960205,-0.4654944837093353,-1.0341805219650269,-1.0713253021240234,0.0
12,0.6326659917831421,-0.8184201717376709,-1.0673344135284424,0.7936493158340454,-0.5254672169685364,0.7030340433120728,-0.9348379373550415,0.9393428564071655,0.8721107244491577,-1.1957305669784546,1.1484990119934082,0.8231095671653748,0.45840388536453247,-0.4847857356071472,-1.0392621755599976,-1.0708434581756592,0.0
13,0.6242254376411438,-0.7855234146118164,-1.0515520572662354,0.7629991769790649,-0.5261316895484924,0.6942142844200134,-0.9256010055541992,0.9034456014633179,0.851201593875885,-1.1834619045257568,1.1291511058807373,0.7820078134536743,0.4698050916194916,-0.5334685444831848,-1.010438084602356,-1.0292353630065918,0.0
14,0.6246446371078491,-0.7996162176132202,-1.075019359588623,0.7614145874977112,-0.5265205502510071,0.7056432366371155,-0.9504541754722595,0.9090803265571594,0.8604835867881775,-1.2092161178588867,1.1497951745986938,0.7725218534469604,0.4652768075466156,-0.5495965480804443,-1.0191136598587036,-1.0334341526031494,0.0
15,0.6239740252494812,-0.8204385042190552,-1.1036760807037354,0.7605397701263428,-0.5264572501182556,0.7233924269676208,-0.9859943389892578,0.9209526777267456,0.872395396232605,-1.2398167848587036,1.1766598224639893,0.7611427307128906,0.45458903908729553,-0.5581570863723755,-1.0332920551300049,-1.044309139251709,0.0
16,0.6189270615577698,-0.8093094229698181,-1.107316017150879,0.7416826486587524,-0.5258291363716125,0.7213358879089355,-0.9908833503723145,0.9009099006652832,0.8631736636161804,-1.2481560707092285,1.1763817071914673,0.7298994064331055,0.4616527259349823,-0.599319577217102,-1.0198261737823486,-1.020869255065918,0.0
17,0.6166122555732727,-0.8081880807876587,-1.1173927783966064,0.7268362641334534,-0.5257088541984558,0.7256568074226379,-1.0068612098693848,0.890917956829071,0.8610507249832153,-1.2605915069580078,1.1819441318511963,0.7019504308700562,0.4624078869819641,-0.624900758266449,-1.0164477825164795,-1.0078387260437012,0.0
18,0.6099482178688049,-0.7894033789634705,-1.1187528371810913,0.7019598484039307,-0.5252678990364075,0.7177348136901855,-1.0062865018844604,0.8636350035667419,0.8456164598464966,-1.2666128873825073,1.1817454099655151,0.660981297492981,0.47896260023117065,-0.6733837127685547,-1.000546932220459,-0.9778801202774048,0.0
19,0.6165241599082947,-0.824047327041626,-1.1633787155151367,0.7093563675880432,-0.5224497318267822,0.7335622310638428,-1.0419461727142334,0.8791469931602478,0.862312376499176,-1.3148047924041748,1.2219535112380981,0.6527224183082581,0.47318828105926514,-0.7038334608078003,-1.017888069152832,-0.9939256906509399,0.0
20,0.6253102421760559,-0.8652025461196899,-1.2086782455444336,0.7097777128219604,-0.515625536441803,0.7538823485374451,-1.0855169296264648,0.8975979685783386,0.8824638724327087,-1.3606709241867065,1.2609931230545044,0.6337313652038574,0.4655822515487671,-0.7212671041488647,-1.0345715284347534,-1.011562705039978,0.0
21,0.631026566028595,-0.8834768533706665,-1.2315130233764648,0.7054587602615356,-0.511337161064148,0.7660443782806396,-1.1131362915039062,0.898769736289978,0.885835587978363,-1.3844492435455322,1.2805171012878418,0.6097462177276611,0.4560667872428894,-0.744285523891449,-1.039832592010498,-1.011409878730774,0.0
22,0.6272192597389221,-0.8707215785980225,-1.2318943738937378,0.6785597205162048,-0.5088745355606079,0.7653419971466064,-1.1242841482162476,0.8730676174163818,0.8707735538482666,-1.3910940885543823,1.2785794734954834,0.5576507449150085,0.4612131416797638,-0.7804924845695496,-1.026749610900879,-0.9816737771034241,0.0
23,0.6275840401649475,-0.8651096820831299,-1.2361665964126587,0.6556798815727234,-0.5042610764503479,0.765338122844696,-1.1368279457092285,0.8485501408576965,0.8564713001251221,-1.4010688066482544,1.280173659324646,0.50928795337677,0.4655064642429352,-0.8194944262504578,-1.0127686262130737,-0.9531264305114746,0.0
