epoch,train_loss,val_loss,train_acc,val_acc
0,0.7018910901541195,0.7027379487506156,0.4,0.35
1,0.7005694549242417,0.7020785565593772,0.45,0.35
2,0.699361539748516,0.7011157159521477,0.5,0.35
3,0.6983904796768707,0.7004160218897815,0.5,0.35
4,0.6972426423365901,0.699562026814661,0.5,0.35
5,0.6958569027650461,0.6980755065589326,0.5,0.35
6,0.6943279156662564,0.6963194913458542,0.55,0.4
7,0.6924498313339216,0.6943934579161941,0.6,0.55
8,0.6896284268475193,0.6920857687199523,0.6,0.6
9,0.6865628919527322,0.6894123123636696,0.65,0.6
10,0.682943864374736,0.6869240940911927,0.7,0.6
11,0.6785303374999032,0.6848792867367871,0.7,0.6
12,0.6741695178411856,0.6829388390155011,0.8,0.55
13,0.6701971844725222,0.6814213851726894,0.8,0.55
14,0.666328692325839,0.6804581029349931,0.8,0.6
15,0.6637054200920988,0.6798295392097999,0.85,0.65
16,0.6608619578272455,0.6794895858621015,0.85,0.55
17,0.6588571000013934,0.6792959733809057,0.85,0.55
18,0.6573107264691427,0.6791895712310648,0.85,0.55
19,0.6561472185782626,0.6790998106578507,0.85,0.55
20,0.6552079736459999,0.6789085058094888,0.85,0.55
21,0.6553081185057392,0.678264614234003,0.85,0.6
22,0.6545687621375296,0.6780964148589781,0.85,0.6
23,0.6537514469381233,0.6782456925653572,0.85,0.55
24,0.6531939319073065,0.6776137138822812,0.85,0.6
25,0.6527169534261615,0.6774087991740927,0.85,0.6
26,0.6528703793096657,0.6768259974379895,0.85,0.6
27,0.6521823586324695,0.6764431189345168,0.85,0.6
28,0.651898457410958,0.6760931102204355,0.85,0.6
29,0.6515832328667086,0.675860076757915,0.85,0.6
30,0.6517293940775795,0.6749146907333586,0.85,0.65
31,0.6513450470721583,0.6747445994685117,0.85,0.65
32,0.651387244110319,0.6739583204898507,0.85,0.65
33,0.6511433313625438,0.6738431729004045,0.85,0.65
34,0.6509600893558698,0.6732481988298558,0.85,0.65
35,0.6508483906261058,0.6728786326804682,0.85,0.65
36,0.6506539319530591,0.6722738351857139,0.85,0.75
37,0.6503392003984709,0.6722630846218013,0.85,0.75
38,0.6507329072115724,0.6713893261635178,0.85,0.75
39,0.6505015533757892,0.6717585159800725,0.85,0.75
