epoch,train_loss,val_loss,train_acc,val_acc
0,0.738808311301369,0.7079858417392505,0.15,0.35
1,0.6801179807316723,0.6793707985042978,0.7,0.55
2,0.6600066491751091,0.674952790171887,0.8,0.65
3,0.6572530016761655,0.673584633491002,0.8,0.7
4,0.6557385203669279,0.6718047045257634,0.8,0.7
5,0.6541736970039972,0.6700723984461003,0.8,0.75
6,0.6526914136260382,0.6682746700783049,0.8,0.75
7,0.6515080090626901,0.6667463412642516,0.8,0.75
8,0.6507769836171337,0.6654577876333799,0.8,0.8
9,0.6489948042216077,0.6642032760320513,0.8,0.8
10,0.6478226212756109,0.6625592869095904,0.8,0.8
11,0.6468402795341055,0.6619656866006458,0.8,0.8
12,0.6455636289613429,0.6607593036922931,0.85,0.8
13,0.6447489009817486,0.6595075996440272,0.8,0.8
14,0.6429127406918018,0.658350552833124,0.8,0.8
15,0.641100787162443,0.6570086967856896,0.8,0.75
16,0.638935473884805,0.654789634002053,0.8,0.85
17,0.636773774875593,0.6521309965969706,0.7,0.9
18,0.6341909964691201,0.6498902994502884,0.75,0.85
19,0.632340025860356,0.6470173280225991,0.8,0.85
20,0.6309014035505249,0.6447215394094283,0.8,0.85
21,0.6293872199021667,0.6431564326665689,0.8,0.85
22,0.6289333131243335,0.6421686652094543,0.8,0.85
23,0.6286183001120185,0.6412225167547241,0.8,0.85
24,0.6278348570742172,0.6398378705261601,0.8,0.85
25,0.6279751023228932,0.6396477045172902,0.8,0.85
26,0.6274100385820558,0.6391821424363912,0.8,0.85
27,0.6272748887763504,0.638503780622511,0.8,0.85
28,0.6269578327419691,0.6385242568222569,0.8,0.85
29,0.6267872010536418,0.6380655353247108,0.8,0.85
30,0.6268625172802285,0.6378420673639866,0.8,0.85
31,0.626438299265016,0.6376867572593652,0.8,0.85
32,0.626031324655338,0.6371243659008778,0.8,0.85
33,0.6259245759409489,0.6371747915869819,0.8,0.85
34,0.6258388150078221,0.6367272849181707,0.8,0.85
35,0.6256404182375593,0.6365006982293503,0.8,0.85
36,0.6252605414148372,0.6363264047966402,0.8,0.85
37,0.62500843384436,0.6363314268199318,0.8,0.85
38,0.6252402617333072,0.6358790529647247,0.8,0.85
39,0.6247686237277015,0.6354613743590979,0.8,0.85
