epoch,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,phi
0,-0.3595670759677887,-0.36430680751800537,-0.3355664312839508,0.37472400069236755,-0.3535468280315399,-0.3684731125831604,0.36310362815856934,0.36751267313957214,-0.3436844050884247,-0.23117592930793762,0.35391369462013245,0.34226515889167786,0.35059335827827454,0.36815041303634644,0.3664068579673767,0.3787020146846771,-0.38975611329078674,-0.35927531123161316,0.3126109838485718,0.36497995257377625,-0.3776896893978119,-0.3715590834617615,-0.3856676518917084,-0.38043326139450073,0.0
1,-0.4933732748031616,-0.523766279220581,-0.4145335257053375,0.5250542163848877,-0.4381704032421112,-0.502322793006897,0.4755287766456604,0.4533916711807251,-0.4937575161457062,-0.3274308741092682,0.4285612106323242,0.49598559737205505,0.45411625504493713,0.5068801045417786,0.5108242630958557,0.47917115688323975,-0.4838249385356903,-0.4975228011608124,0.3706907033920288,0.5471939444541931,-0.5238428711891174,-0.4680153727531433,-0.5095236301422119,-0.5013048648834229,0.0
2,-0.5805668234825134,-0.6453185677528381,-0.45512357354164124,0.6393212676048279,-0.4804818034172058,-0.599419116973877,0.5496523976325989,0.5190374851226807,-0.6016265153884888,-0.4143822491168976,0.41589513421058655,0.5611541867256165,0.5233509540557861,0.5952099561691284,0.6270059943199158,0.5618054866790771,-0.5084543824195862,-0.5939227938652039,0.4078155755996704,0.694139301776886,-0.613497257232666,-0.5434131622314453,-0.6142557859420776,-0.6042413711547852,0.0
3,-0.6378780007362366,-0.7401631474494934,-0.4741949737071991,0.7242060303688049,-0.4962344765663147,-0.6731938123703003,0.5950940251350403,0.5690619349479675,-0.6750083565711975,-0.5064786076545715,0.3637968897819519,0.5660776495933533,0.5672422647476196,0.6509525179862976,0.7149509787559509,0.627493679523468,-0.4960000216960907,-0.6658533215522766,0.4323190152645111,0.8108291029930115,-0.6637194752693176,-0.5994546413421631,-0.6976230144500732,-0.6869157552719116,0.0
4,-0.6715177893638611,-0.800023078918457,-0.48972398042678833,0.7739726901054382,-0.4978101849555969,-0.7194008231163025,0.6171908378601074,0.6006022095680237,-0.7197802662849426,-0.586022138595581,0.3071797490119934,0.5436437726020813,0.5905794501304626,0.68209308385849,0.7685189843177795,0.6680538654327393,-0.47702667117118835,-0.7138068675994873,0.44075459241867065,0.8854752779006958,-0.6884466409683228,-0.631943941116333,-0.748267412185669,-0.7372986078262329,0.0
5,-0.6920902729034424,-0.8237955570220947,-0.5015478134155273,0.7919203042984009,-0.5013127326965332,-0.7348930835723877,0.632089376449585,0.6131277680397034,-0.7515187859535217,-0.6408661007881165,0.2840050756931305,0.5416610240936279,0.5910507440567017,0.7018044590950012,0.7789420485496521,0.6734587550163269,-0.48773813247680664,-0.7306466102600098,0.4522066116333008,0.9147194027900696,-0.7048781514167786,-0.6322930455207825,-0.7529404163360596,-0.7436598539352417,0.0
6,-0.7062844038009644,-0.8354270458221436,-0.5170932412147522,0.7977913022041321,-0.506574809551239,-0.7408588528633118,0.6485426425933838,0.6199257969856262,-0.7754737138748169,-0.6644437313079834,0.27148696780204773,0.548545777797699,0.5897782444953918,0.7183221578598022,0.7812596559524536,0.670750617980957,-0.5056830048561096,-0.7354836463928223,0.460762619972229,0.9271765351295471,-0.7197689414024353,-0.6255121827125549,-0.7460448145866394,-0.7400736212730408,0.0
7,-0.7119190096855164,-0.8342978954315186,-0.5231906175613403,0.7988226413726807,-0.5054894685745239,-0.737488329410553,0.6558240056037903,0.620192289352417,-0.7946836948394775,-0.7045964002609253,0.26735132932662964,0.5535264015197754,0.5812122225761414,0.7221916913986206,0.766007125377655,0.654668390750885,-0.5241028666496277,-0.7383798360824585,0.4628143012523651,0.933048665523529,-0.7270192503929138,-0.6067002415657043,-0.7240421772003174,-0.7203896045684814,0.0
8,-0.7292152047157288,-0.8478187918663025,-0.5350653529167175,0.8079625368118286,-0.504817008972168,-0.7460395097732544,0.668152928352356,0.6276984214782715,-0.8222536444664001,-0.7456762194633484,0.24443404376506805,0.5450415015220642,0.5745546817779541,0.7387678623199463,0.7664088606834412,0.6534143686294556,-0.5318647027015686,-0.7489977478981018,0.46737179160118103,0.9522432088851929,-0.7399901151657104,-0.5993807911872864,-0.7182039022445679,-0.7175828814506531,0.0
9,-0.7442045211791992,-0.8571287989616394,-0.5484021902084351,0.813141405582428,-0.5055785775184631,-0.753240704536438,0.685868501663208,0.6352968215942383,-0.8409970998764038,-0.7809974551200867,0.21594226360321045,0.5345391631126404,0.5716648697853088,0.7574591636657715,0.7701737284660339,0.6530181765556335,-0.5397264957427979,-0.753186821937561,0.46296632289886475,0.9679942727088928,-0.7611886262893677,-0.5918779969215393,-0.712683379650116,-0.7165159583091736,0.0
